pathway	size	pval	padj	NES
SIMVASTATIN ACTION PATHWAY%PATHWHIZ%PW000127	21	0.0026	0.0124	-1.8161
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	80	3.7311e-12	4.4715e-10	-2.659
IL4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL4-MEDIATED SIGNALING EVENTS	65	0	0.0002	2.09
MEIOSIS I%GOBP%GO:0007127	97	0.0011	0.0063	-1.7677
POSITIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY%GOBP%GO:0051092	122	0.0004	0.0026	1.6988
HOMOLOGOUS RECOMBINATION%GOBP%GO:0035825	60	0.0001	0.0008	-2.0103
REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045859	397	1.0295e-7	0.0000030089	1.7759
INTRACELLULAR SIGNALLING THROUGH ADENOSINE RECEPTOR A2A AND ADENOSINE%SMPDB%SMP0000320	37	0.0001	0.0008	2.0591
MYD88 DISTINCT INPUT OUTPUT PATHWAY%WIKIPATHWAYS_20240410%WP3877%HOMO SAPIENS	16	0.0021	0.0106	1.859
REGULATION OF CELL KILLING%GOBP%GO:0031341	97	0.0024	0.0119	1.691
SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS	38	0.0138	0.0448	1.6632
VESICLE BUDDING FROM MEMBRANE%GOBP%GO:0006900	75	0.0154	0.0487	1.5349
BASE EXCISION REPAIR%REACTOME DATABASE ID RELEASE 81%73884	68	0.0053	0.0215	-1.6158
T CELL ACTIVATION%GOBP%GO:0042110	186	0.0001	0.0006	1.7409
PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:0072657	392	0.0008	0.0048	1.4635
REGULATION OF NEUROGENESIS%GOBP%GO:0050767	203	0.0062	0.0244	1.4791
NON-KETOTIC HYPERGLYCINEMIA%PATHWHIZ%PW000209	24	0.0013	0.0072	-1.8689
CELLULAR RESPONSE TO ABIOTIC STIMULUS%GOBP%GO:0071214	243	0.0032	0.0146	1.4877
RSV-HOST INTERACTIONS%REACTOME DATABASE ID RELEASE 81%9833110	96	0.0000018458	0	2.0957
SULFUR COMPOUND CATABOLIC PROCESS%GOBP%GO:0044273	37	0.0002	0.0017	-1.9817
INTRACELLULAR SIGNALING BY SECOND MESSENGERS%REACTOME DATABASE ID RELEASE 81%9006925	291	0.0002	0.0013	1.5738
FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	51	0	0.0002	-2.1253
ONCOGENIC MAPK SIGNALING%REACTOME%R-HSA-6802957.9	80	0.0007	0.0044	1.773
DISEASES OF IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 81%5260271	32	0	0.0004	2.1451
NEGATIVE REGULATION OF MAPK CASCADE%GOBP%GO:0043409	130	0.0038	0.0166	1.5183
RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME%R-HSA-380320.5	79	0.0001	0.001	-1.886
REGULATION OF TRANSCRIPTION INITIATION BY RNA POLYMERASE II%GOBP%GO:0060260	66	0.0152	0.0485	1.542
TOLL-LIKE RECEPTOR PATHWAY 2%SMPDB%SMP0069593	32	0	0.0005	2.1273
REGULATION OF TNFR1 SIGNALING%REACTOME%R-HSA-5357905.8	45	0.0003	0.0023	1.9307
BIOCARTA_HIVNEF_PATHWAY%MSIGDB_C2%BIOCARTA_HIVNEF_PATHWAY	42	0.0091	0.0329	1.6981
FATTY ACID OXIDATION%GOBP%GO:0019395	68	0	0.0004	-1.9626
AZATHIOPRINE ADME%REACTOME%R-HSA-9748787.3	23	0.0102	0.036	-1.6554
POSITIVE REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0010638	450	0.0147	0.0472	1.2893
DEFECTIVE HDR THROUGH HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO PALB2 LOSS OF BRCA2 RAD51 RAD51C BINDING FUNCTION%REACTOME DATABASE ID RELEASE 81%9704646	25	0.0045	0.0189	-1.6882
HALLMARK_NOTCH_SIGNALING%MSIGDBHALLMARK%HALLMARK_NOTCH_SIGNALING	25	0.008	0.0297	1.7769
MITOTIC SPINDLE ORGANIZATION%GOBP%GO:0007052	90	0	0.0004	-1.9232
POSITIVE REGULATION OF CELL KILLING%GOBP%GO:0031343	65	0.0021	0.0106	1.769
REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902749	98	0.006	0.0237	-1.5071
MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.4	108	0	0.0002	-1.8164
MACROAUTOPHAGY%REACTOME%R-HSA-1632852.10	115	0.0005	0.0031	1.7008
FRUCTOSURIA%SMPDB%SMP0000561	18	0.0109	0.0374	-1.7146
NON-MEMBRANE-BOUNDED ORGANELLE ASSEMBLY%GOBP%GO:0140694	294	0.0102	0.036	-1.309
M PHASE%REACTOME%R-HSA-68886.5	374	0	0.0002	-1.5701
MAPK FAMILY SIGNALING CASCADES%REACTOME DATABASE ID RELEASE 81%5683057	307	0	0.0003	1.6613
CELL SURFACE TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0140895	33	0.0000017359	0	2.3051
REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0030071	87	0.0000014126	0	-2.1051
BUDDING AND MATURATION OF HIV VIRION%REACTOME DATABASE ID RELEASE 81%162588	28	0.015	0.048	1.6585
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 81%176187	37	8.3461e-7	0	-2.3299
LOCOMOTION%GOBP%GO:0040011	267	0	0.0002	1.7617
TAXIS%GOBP%GO:0042330	263	0	0.0002	1.7573
HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693579.5	43	0.0001	0.0009	-2.0053
MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20240410%WP3981%HOMO SAPIENS	25	0	0.0003	2.1494
POSITIVE REGULATION OF AUTOPHAGY%GOBP%GO:0010508	152	0.0039	0.0171	1.5087
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20240410%WP2643%HOMO SAPIENS	27	0.0088	0.0319	1.6682
WNT%IOB%WNT	64	0.0104	0.0364	1.5831
POSITIVE REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031349	369	5.8386e-14	1.9825e-11	2.1378
VALIDATED TRANSCRIPTIONAL TARGETS OF TAP63 ISOFORMS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TRANSCRIPTIONAL TARGETS OF TAP63 ISOFORMS	54	0.0073	0.0279	1.6684
APOPTOSIS RELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER%WIKIPATHWAYS_20240410%WP2864%HOMO SAPIENS	44	0.001	0.006	1.8813
CELLULAR RESPONSE TO VIRUS%GOBP%GO:0098586	65	9.4618e-7	0	2.2529
ANTIVIRAL AND ANTI INFLAMMATORY EFFECTS OF NRF2 ON SARS COV 2 PATHWAY%WIKIPATHWAYS_20240410%WP5113%HOMO SAPIENS	27	0.0001	0.0006	2.0924
PID_FOXO_PATHWAY%MSIGDB_C2%PID_FOXO_PATHWAY	43	0.0049	0.0203	1.7545
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	80	3.2068e-12	4.2608e-10	-2.6625
IL6 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP364%HOMO SAPIENS	37	0.0003	0.0025	1.9729
RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME%R-HSA-110373.4	25	0.0000071417	0.0001	-2.2163
CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0016052	89	0.0058	0.0231	-1.551
SIGNALING BY ROBO RECEPTORS%REACTOME DATABASE ID RELEASE 81%376176	217	0.0152	0.0485	-1.3233
NEGATIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0042059	23	0.0081	0.03	1.7333
POSITIVE REGULATION OF MAPK CASCADE%GOBP%GO:0043410	378	2.0303e-7	0.0000053488	1.7914
BIOCARTA_MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_MAPK_PATHWAY	68	0.0008	0.0047	1.7984
NETWORK MAP OF SARS COV 2 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP5115%HOMO SAPIENS	199	2.4994e-8	8.8302e-7	2.0705
PATHWAYS IN CANCER%WIKIPATHWAYS_20240410%WP5434%HOMO SAPIENS	419	9.0306e-8	0.0000026924	1.8019
POSITIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1904018	129	0	0.0002	1.858
HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN	118	0.0012	0.0068	1.6527
HOMOCARNOSINOSIS%SMPDB%SMP0000385	22	0.011	0.0376	-1.715
POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001916	36	0.0041	0.0177	1.8004
NEGATIVE REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035305	29	0.0037	0.0163	1.8128
CORTICOTROPIN RELEASING HORMONE SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2355%HOMO SAPIENS	74	0.0015	0.0083	1.7003
EGF RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00018	88	0.0051	0.0209	1.5971
ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS%GOBP%GO:0048646	535	0.0012	0.0066	1.4496
STEROID METABOLIC PROCESS%GOBP%GO:0008202	185	0.0028	0.0132	-1.5555
ENTEROCYTE CHOLESTEROL METABOLISM%WIKIPATHWAYS_20240410%WP5333%HOMO SAPIENS	32	0.0106	0.0369	-1.5761
INTERFERON TYPE I SIGNALING PATHWAYS%WIKIPATHWAYS_20240410%WP585%HOMO SAPIENS	49	0.0011	0.0062	1.8427
PPARA ACTIVATES GENE EXPRESSION%REACTOME%R-HSA-1989781.6	114	0.0001	0.0007	1.8377
MICROTUBULE CYTOSKELETON ORGANIZATION%GOBP%GO:0000226	492	0.0003	0.0022	-1.4432
MONONUCLEAR CELL DIFFERENTIATION%GOBP%GO:1903131	216	0.0011	0.0061	1.5686
REGULATION OF ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0032956	285	0.0051	0.0209	1.4045
ERK1 ERK2 PATHWAY%REACTOME DATABASE ID RELEASE 81%5684996	268	0.0004	0.0026	1.5669
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION%GOBP%GO:0007204	118	0.0116	0.0393	1.5516
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR)%REACTOME DATABASE ID RELEASE 81%5685942	69	8.5367e-7	0	-2.195
NEGATIVE REGULATION OF PROTEIN LOCALIZATION%GOBP%GO:1903828	153	0.0075	0.0283	1.4775
POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY%GOBP%GO:0051091	199	0.0003	0.0025	1.629
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME DATABASE ID RELEASE 81%5696397	25	0.0071	0.0274	-1.6262
NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819	31	0	0.0002	-2.2044
TRNA PROCESSING%REACTOME%R-HSA-72306.8	104	0.0111	0.0379	-1.4369
ALZHEIMER 39 S DISEASE%WIKIPATHWAYS_20240410%WP5124%HOMO SAPIENS	202	0.0006	0.0038	1.6187
ALLOGRAFT REJECTION%WIKIPATHWAYS_20240410%WP2328%HOMO SAPIENS	82	0.0000030969	0.0001	2.2011
REGULATION OF DEFENSE RESPONSE TO VIRUS%GOBP%GO:0050688	49	0.0038	0.0166	1.6993
HALLMARK_IL2_STAT5_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL2_STAT5_SIGNALING	177	1.3384e-11	1.2209e-9	2.2824
CHROMATIN REMODELING%GOBP%GO:0006338	449	0.0002	0.0018	1.5079
LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME%R-HSA-380259.3	68	0.0006	0.0038	-1.7884
CHROMATIN ORGANIZATION%GOBP%GO:0006325	507	0.0009	0.0053	1.4132
MODIFICATION-DEPENDENT MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0043632	465	3.5426e-7	0.0000088377	1.6987
MAP KINASE ACTIVATION%REACTOME%R-HSA-450294.5	62	0.0001	0.0006	1.9849
POSITIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046638	40	0.0015	0.008	1.8427
SNO(S)RNA METABOLIC PROCESS%GOBP%GO:0016074	17	0.0044	0.0186	-1.7597
BIOLOGICAL PROCESS INVOLVED IN SYMBIOTIC INTERACTION%GOBP%GO:0044403	173	0.00000551	0.0001	1.8667
NEGATIVE REGULATION OF TOR SIGNALING%GOBP%GO:0032007	67	0.0042	0.0181	1.6689
RESPONSE TO HYPOXIA%GOBP%GO:0001666	137	0.0008	0.0049	1.624
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND%GOBP%GO:0071407	278	0.0004	0.0028	1.591
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	168	0.0008	0.0051	-1.5975
TYPE 2 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20240410%WP4241%HOMO SAPIENS	24	0.0057	0.023	1.8048
PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524	104	0.0039	0.0172	-1.6255
REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045580	131	0.0001	0.0007	1.8043
3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000721	24	0.0013	0.0072	-1.8689
PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523	79	0.0136	0.0444	-1.492
COMPLEMENT ACTIVATION%GOBP%GO:0006956	44	0.0104	0.0365	1.7074
POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001934	479	1.3383e-13	3.7181e-11	2.0494
POSITIVE REGULATION OF INTERLEUKIN-2 PRODUCTION%GOBP%GO:0032743	26	0.0123	0.041	1.6076
RESPONSE TO VIRUS%GOBP%GO:0009615	304	2.0765e-10	1.3502e-8	2.0426
ESR-MEDIATED SIGNALING%REACTOME%R-HSA-8939211.6	183	0.0000039993	0.0001	1.8802
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	253	0.0003	0.0025	1.6153
NLS-BEARING PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006607	19	0.0002	0.0016	2.0518
MICROTUBULE ORGANIZING CENTER ORGANIZATION%GOBP%GO:0031023	101	0.0053	0.0216	-1.5007
MITOCHONDRIAL TRANSMEMBRANE TRANSPORT%GOBP%GO:1990542	89	0.0018	0.0094	-1.6382
RESPONSE TO HYDROGEN PEROXIDE%GOBP%GO:0042542	43	0.0128	0.0424	1.5906
INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	63	0.0015	0.008	1.7423
DEUBIQUITINATION%REACTOME%R-HSA-5688426.5	281	0.0001	0.0007	1.6475
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 81%5389840	88	6.7167e-8	0.0000021161	-2.1872
REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046637	56	0.0000011534	0	2.2173
TRANSCRIPTIONAL ACTIVITY OF SMAD2 SMAD3:SMAD4 HETEROTRIMER%REACTOME%R-HSA-2173793.6	50	0.0000055322	0.0001	2.17
IL12-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12-MEDIATED SIGNALING EVENTS	60	3.5984e-12	4.4623e-10	2.6584
NEGATIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050866	147	0.008	0.0297	1.489
POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0071902	118	0	0.0004	1.8393
PROTEIN UBIQUITINATION%GOBP%GO:0016567	472	0	0.0004	1.5739
ALPHA-AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:1901607	54	0	0.0002	-2.1038
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY%GOBP%GO:0045954	23	0.0099	0.0352	1.7256
BIOCARTA_EGF_PATHWAY%MSIGDB_C2%BIOCARTA_EGF_PATHWAY	22	0.0024	0.0117	1.8336
IL2-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2-MEDIATED SIGNALING EVENTS	54	0.0048	0.0199	1.7056
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098	21	0.0041	0.0176	1.8071
PID_PI3KCI_AKT_PATHWAY%MSIGDB_C2%PID_PI3KCI_AKT_PATHWAY	30	0.0144	0.0463	1.6796
PROTEINOGENIC AMINO ACID METABOLIC PROCESS%GOBP%GO:0170039	124	0.0000013554	0	-2.0128
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	64	0.0009	0.0053	1.7591
RAF-INDEPENDENT MAPK1 3 ACTIVATION%REACTOME DATABASE ID RELEASE 81%112409	22	0.0122	0.0408	1.7325
RESPONSE TO OXYGEN LEVELS%GOBP%GO:0070482	156	0.0004	0.0026	1.6541
RAF ACTIVATION%REACTOME%R-HSA-5673000.4	33	0.0033	0.0147	1.8028
HEAD DEVELOPMENT%GOBP%GO:0060322	405	0.0091	0.0329	1.3293
AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 81%141424	91	0	0.0002	-1.9159
NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009165	214	0.0000015083	0	-1.8065
REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	136	0	0.0002	1.8906
ATTACHMENT OF MITOTIC SPINDLE MICROTUBULES TO KINETOCHORE%GOBP%GO:0051315	16	0.0151	0.0482	-1.6452
NECTIN ADHESION PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NECTIN ADHESION PATHWAY	30	0.0008	0.0049	1.9303
REGULATION OF ANGIOGENESIS%GOBP%GO:0045765	238	0.0002	0.0019	1.6437
CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051	72	0.0112	0.0382	1.5296
PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	125	0.000001754	0	1.9695
BIOLOGICAL PROCESS INVOLVED IN INTERACTION WITH SYMBIONT%GOBP%GO:0051702	104	0.0051	0.0209	1.5933
HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	183	0.0101	0.0358	1.4236
FOCAL ADHESION PI3K AKT MTOR SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP3932%HOMO SAPIENS	254	0.00000719	0.0001	1.811
REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022407	399	2.4601e-12	4.0638e-10	2.0484
COMPLEX I BIOGENESIS%REACTOME%R-HSA-6799198.3	57	0.0106	0.0369	-1.5161
GOLGI ORGANIZATION%GOBP%GO:0007030	133	0.0094	0.0336	1.4348
NERVOUS SYSTEM PROCESS%GOBP%GO:0050877	744	0.0006	0.004	1.4956
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	80	3.0051e-12	4.1743e-10	-2.6647
ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20240410%WP2853%HOMO SAPIENS	122	0.0005	0.0033	1.7167
AUTOPHAGY%GOBP%GO:0006914	218	0.0003	0.002	1.6031
PROSTAGLANDIN SIGNALING%WIKIPATHWAYS_20240410%WP5088%HOMO SAPIENS	29	0	0.0002	2.1693
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0071363	299	3.4863e-10	2.1098e-8	2.0499
PID_AVB3_OPN_PATHWAY%MSIGDB_C2%PID_AVB3_OPN_PATHWAY	27	0.0028	0.0132	1.809
REGULATION OF TOR SIGNALING%GOBP%GO:0032006	142	0.0001	0.0006	1.7762
NEGATIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048662	37	0.0015	0.0082	1.8969
CELLULAR RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0031669	176	0.0000081379	0.0001	1.8397
PROTEIN TARGETING TO LYSOSOME%GOBP%GO:0006622	26	0.0068	0.0263	1.6973
REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032680	133	0	0.0002	1.8928
SARS-COV-2 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 81%9754678	50	0.0000060627	0.0001	-2.1493
CELL-SUBSTRATE JUNCTION ORGANIZATION%GOBP%GO:0150115	30	0.0113	0.0384	1.6306
NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR (NLR) SIGNALING PATHWAYS%REACTOME%R-HSA-168643.3	52	0.0014	0.0076	1.8205
GRANULOCYTE MIGRATION%GOBP%GO:0097530	78	0	0.0004	2.0455
TNF STRESS RELATED SIGNALING%PATHWHIZ%PW064784	22	0.0006	0.0039	2.0114
VITAMIN B12 METABOLISM%WIKIPATHWAYS_20240410%WP1533%HOMO SAPIENS	44	0.001	0.006	1.8971
MODIFICATION-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0019941	460	2.5281e-7	0.0000065751	1.6752
POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION%GOBP%GO:0045648	27	0.0076	0.0285	1.6858
MULTIVESICULAR BODY ORGANIZATION%GOBP%GO:0036257	32	0.0046	0.0191	1.773
NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035872	15	0.0065	0.0252	1.7564
TGF-BETA SIGNALING PATHWAY%PANTHER PATHWAY%P00052	85	0.001	0.0057	1.7319
CENTROSOME MATURATION%REACTOME%R-HSA-380287.4	80	0.0004	0.0029	-1.7871
MRNA CATABOLIC PROCESS%GOBP%GO:0006402	117	0.0008	0.0048	1.6676
POSITIVE REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0032968	46	0.001	0.006	1.8449
INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV 1 LTR%WIKIPATHWAYS_20240410%WP3414%HOMO SAPIENS	29	0.0017	0.0091	1.8591
BIOCARTA_VIP_PATHWAY%MSIGDB_C2%BIOCARTA_VIP_PATHWAY	19	0.0011	0.0066	1.9243
WOLMAN DISEASE%PATHWHIZ%PW000487	21	0.0026	0.0124	-1.8161
2-HYDROXYGLUTRIC ACIDURIA (D AND L FORM)%SMPDB%SMP0000136	22	0.011	0.0376	-1.715
NUCLEAR EVENTS MEDIATED BY NFE2L2%REACTOME DATABASE ID RELEASE 81%9759194	95	0.0087	0.0317	1.4941
PRE-MRNA SPLICING%REACTOME DATABASE ID RELEASE 81%72163	203	0	0.0002	1.7459
POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043372	30	0.0004	0.0026	1.9382
NEGATIVE REGULATION OF SECRETION BY CELL%GOBP%GO:1903531	93	0.0146	0.0468	1.5415
NUCLEAR RECEPTORS META PATHWAY%WIKIPATHWAYS_20240410%WP2882%HOMO SAPIENS	268	1.426e-7	0.0000038653	1.9316
EGF EGFR SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP437%HOMO SAPIENS	125	0.0003	0.0021	1.6869
REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0007088	107	1.5718e-8	5.8939e-7	-2.2473
NEGATIVE REGULATION OF BLOOD COAGULATION%GOBP%GO:0030195	39	0.0039	0.0171	1.7604
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981	59	0.0028	0.0131	-1.7749
ERBB SIGNALING PATHWAY%GOBP%GO:0038127	55	0.0131	0.0431	1.6062
VASCULATURE DEVELOPMENT%GOBP%GO:0001944	268	0	0.0004	1.7032
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	70	1.6825e-9	8.1615e-8	2.4304
POSITIVE REGULATION OF MRNA METABOLIC PROCESS%GOBP%GO:1903313	118	0.0000013048	0	2.0236
REGULATION OF RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:1904892	70	0.0001	0.0008	1.9646
REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:2000351	45	0.0096	0.0343	1.6947
INFLAMMATORY BOWEL DISEASE SIGNALING%WIKIPATHWAYS_20240410%WP5198%HOMO SAPIENS	39	0	0.0005	2.1075
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032760	84	0.0002	0.0018	1.8839
HEXOSE METABOLIC PROCESS%GOBP%GO:0019318	96	0.0035	0.0154	-1.6023
PDGFR-ALPHA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-ALPHA SIGNALING PATHWAY	21	0.0023	0.0115	1.8542
PIGMENT BIOSYNTHETIC PROCESS%GOBP%GO:0046148	30	0.0069	0.0267	-1.7032
REGULATION OF CDH11 EXPRESSION AND FUNCTION%REACTOME%R-HSA-9759475.2	27	0.0059	0.0234	1.7021
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE%GOBP%GO:1902230	26	0.0157	0.0496	1.5872
FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	73	0.0055	0.0222	1.6065
NEURON DIFFERENTIATION%GOBP%GO:0030182	694	0.0025	0.0122	1.359
NEGATIVE REGULATION OF CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:0043124	51	0.001	0.0061	1.8226
REGULATION OF ANATOMICAL STRUCTURE SIZE%GOBP%GO:0090066	312	0.0062	0.0244	1.4292
REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0007346	429	0.0001	0.001	-1.4775
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	80	2.7227e-12	4.1743e-10	-2.6685
SMALL MOLECULE CATABOLIC PROCESS%GOBP%GO:0044282	287	3.1039e-8	0.0000010809	-1.9342
EGFR DOWNREGULATION%REACTOME DATABASE ID RELEASE 81%182971	30	0.008	0.0298	1.6508
PID_CDC42_PATHWAY%MSIGDB_C2%PID_CDC42_PATHWAY	57	0.0109	0.0374	1.5819
PACKAGING OF TELOMERE ENDS%REACTOME DATABASE ID RELEASE 81%171306	31	0.0115	0.039	1.6871
GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071621	70	0.0000056066	0.0001	2.1605
ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	76	0.0001	0.0008	-1.9142
POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0016441	45	0.0123	0.0412	1.6257
SECONDARY ALCOHOL METABOLIC PROCESS%GOBP%GO:1902652	78	0.0027	0.0127	-1.6417
