gene	rank
ZFYVE1	2.8109
SCLT1	2.8109
BEST4	2.81
H2BC15	2.8098
SHISAL1	2.8094
CLEC7A	2.8085
ITGA5	2.8082
ATP6V0A2	2.8078
WDR7	2.8062
RARA	2.8062
TNFRSF11A	2.806
PFKFB3	2.8042
ZNF585B	2.8017
SEC63	2.7994
NBR1	2.7983
DAP	2.7981
RNF216P1	2.7955
STK10	2.7932
RNF25	2.7931
ARPC4-TTLL3	2.7924
MYL9	2.7916
SS18L2	2.7907
EPB41L5	2.7898
SHROOM1	2.7889
SPRY4	2.7856
ZFPM2	2.7828
MSANTD3-TMEFF1	2.7825
SERPINB8	2.7798
FRRS1	2.7786
PDZD8	2.7775
POMP	2.7758
CNOT11	2.7755
RNF138	2.7747
ARID1A	2.7739
JAKMIP2	2.7736
ZNF407	2.7715
SMIM5	2.77
TMLHE-AS1	2.7691
NEO1	2.7685
F2RL3	2.768
VAV3-AS1	2.7667
SLC25A37	2.7655
NPFFR2	2.7637
LOC105378721	2.7632
ILKAP	2.7631
YTHDF1	2.7614
ZCCHC12	2.7601
MED29	2.7581
HES4	2.7559
RB1	2.7554
RTN1	2.755
SLFN5	2.7547
GPSM3	2.7543
ENGASE	2.7542
PLEKHO2	2.754
ZSCAN29	2.7539
PRKD3	2.7513
FAP	2.7498
ACSBG1	2.7498
PRH1.2	2.7487
LINC01537	2.7466
TLR4	2.7464
USF3	2.7448
MIR7161	2.7436
CYP4F26P	2.7434
CNOT9	2.7424
RGS20	2.7415
EPOP	2.7411
WDR49	2.7404
ENPP5	2.7399
ATN1	2.7394
ARHGAP22	2.7363
PPFIBP2	2.7356
GAREM1	2.7351
LOC440910	2.7345
PIFO	2.7343
UFSP1	2.7341
GMIP	2.7338
C1GALT1	2.7325
PPP1R17	2.7305
GRIK5	2.7288
PRDM4	2.7285
RBM27.1	2.7267
UGDH	2.7258
CYP2W1	2.7241
ACSL4	2.7236
OVCH1	2.7231
FAM118A	2.723
DGKE	2.7223
SLC39A13	2.7219
TMX2	2.7216
VASN	2.7211
GNL1.2	2.7205
MFHAS1	2.7172
COL16A1	2.7165
LOC283922	2.7159
PEX16	2.7151
SYCP1	2.7145
COPS5	2.7138
MTMR4	2.7127
DHX9	2.712
ZNF626	2.7113
RNF169	2.7111
ZNF282	2.71
CSNK1G2	2.7089
PHAX	2.7078
BCL7B	2.7075
ARID3B	2.7069
FAM160B1	2.705
MED23	2.7036
VSNL1	2.7033
ACOT9	2.7015
LOC652276	2.7005
LGMN	2.7003
PHF3	2.7
F8A3	2.6996
PDCD10	2.699
ANP32A	2.6987
HROB	2.698
NCF1C	2.6957
LOC101927974	2.6949
SRGAP2	2.6941
CHD4	2.6935
MED21	2.6932
DPP9	2.6919
IDS	2.6894
SEMA7A	2.6886
MAPK8IP1	2.6862
SCN8A	2.6858
ALPK1	2.685
NPEPPS	2.6847
IREB2	2.6842
CFAP54	2.6814
ZNF271P	2.6806
PLCL1	2.6784
EMC7	2.6765
THSD7B	2.6747
GOLGA2P7	2.6739
HNF1A-AS1	2.6738
KIF25	2.6723
RN7SKP70	2.6692
LINC02280	2.6691
FCGR2A	2.6685
IL36G	2.6677
DEK	2.6672
IER3IP1	2.6657
ZNF701	2.6657
MLKL	2.6655
MAPK15	2.6637
ZNF226	2.6626
LPA	2.6593
LINC01968	2.6592
PEX12	2.659
CDK16	2.6585
THAP9	2.6576
LSM1	2.6567
METTL2A	2.6561
DOCK10	2.6554
RNGTT	2.6552
ZNF782	2.6547
C11orf94	2.6503
C5orf22	2.6498
PIP5K1C	2.6496
RPAP1	2.6495
DNAJB9	2.6489
XPR1	2.6481
TACC1	2.648
RAB7B	2.6471
EDC3	2.6461
BMS1P4	2.6457
NDFIP2	2.645
USP33	2.6449
CDC5L	2.644
EFCAB14	2.6424
PSMC4	2.64
FFAR2	2.6387
ATP2A2	2.6361
TSSC4	2.6359
SBF2	2.6352
WIPF3	2.635
PPP1R3C	2.6347
TREML3P	2.6341
ARMH3	2.6317
HBS1L	2.6316
TMED7	2.6311
HNRNPK	2.631
ENY2	2.631
ZNF230	2.6305
TBL1XR1	2.6286
SELENOT	2.6267
TRIT1	2.6253
ARAF	2.6246
ATP6V1F	2.6243
FIZ1	2.6207
GNA15	2.6177
KMT2B	2.6172
CFAP206	2.6156
ERCC4	2.6143
GAS7	2.6135
HAND2-AS1	2.6134
PTPN14	2.6131
CHMP3	2.6125
PSMD4	2.6113
MAFA	2.6104
ZNF195	2.6091
RIN3	2.6068
SRA1	2.6035
ARHGAP27P1-BPTFP1-KPNA2P3	2.6031
MYBPC3	2.603
ZFC3H1	2.6009
SEC61A2	2.6003
ZNF770	2.6001
SYNRG	2.5998
MCF2L2	2.5996
SH3GLB1	2.5993
ELF2	2.5991
SIDT1	2.599
KIF3B	2.5988
ISOC1	2.5968
SMCR8	2.5964
SPOPL	2.594
MYO1B	2.5939
ENPP2	2.5932
NDFIP1	2.5927
RPN2	2.5927
PFKM	2.5913
ENOX1	2.5907
ANKRD49	2.5902
ZNF845	2.5899
RAB2A	2.5886
HLA-DOA.1	2.5885
RALB	2.587
LRGUK	2.5857
PCSK6-AS1	2.5847
TTLL3	2.583
MKRN2	2.5814
ZNF333	2.5811
LINC02145	2.581
FER1L4	2.5809
SMAD5	2.5809
CD300E	2.5803
C6orf58	2.5796
HIP1	2.5792
IL2RA	2.579
TM2D2	2.5785
TTYH2	2.5783
ZNF675	2.576
IFI27.1	2.5745
CACNA2D2	2.5723
NIPAL1	2.5722
ASCC2	2.5713
UNC5B	2.571
C11orf95	2.5709
ULK4	2.5707
PPARD	2.5704
M6PR	2.5696
KDSR	2.5674
LINC02473	2.5672
ABT1	2.5672
SPACA6	2.5651
MS4A14	2.5648
LINC00511	2.564
CCDC194	2.5617
PCBP3	2.5614
GSKIP	2.561
YPEL2	2.5607
C19orf71	2.5605
DXO.1	2.5601
ZNF613	2.5601
SELE	2.5597
ANGPTL4	2.559
NAXD	2.5588
ATXN7L2	2.5586
FTH1P10	2.5567
FAM227A	2.5566
RPL7AP43	2.5557
KAT7	2.5549
USP32P2	2.5548
CA8	2.5517
SDHAF2	2.5516
PSAP	2.5507
GTF2H3	2.5498
PMS2P3	2.5476
LILRA5.1	2.5459
SNX13	2.5456
DPYS	2.5453
ZNF772	2.5444
STAM	2.5443
ZNF777	2.5426
SERF1A.2	2.5425
MYLK3	2.5423
MAP2K1	2.5413
ZNF518B	2.5408
PPP1R18.3	2.5406
DDX52	2.54
LOC101928336	2.5394
SLC39A9	2.5393
DSE	2.5384
PLEKHA1	2.5379
CCAR1	2.5349
ADGRF1	2.5348
CNNM4	2.5342
DHRSX	2.5341
IL21R	2.5333
FUBP3	2.5329
SMG8	2.5321
ZNF641	2.5312
IFI6	2.5306
NOTCH2	2.5303
ARFGAP1	2.5292
CBWD1	2.5272
PNO1	2.5259
CCDC126	2.5227
TAB3	2.5217
SHFL	2.5199
CSF2RA	2.518
CA5B	2.518
PIWIL1	2.5178
PFDN5	2.5175
ZNF611	2.5169
PAQR3	2.5167
CCBE1	2.5163
CYB5R4	2.5157
A2ML1	2.5148
DNAJC1	2.5144
ZAN	2.5124
USP11	2.512
LOC105369306	2.5116
THG1L	2.5114
RPL3L	2.5097
ALOX5AP	2.5087
POMK	2.5076
MMGT1	2.5076
MIR4300HG	2.5065
PRKAB2	2.5056
BCYRN1	2.5056
ZNF790-AS1	2.5034
SEMA6B	2.4991
DDX59	2.4978
FUNDC2	2.4965
UBE2S	2.4964
ASZ1	2.4958
CCDC93	2.4956
ATP6V0D1	2.4951
NCOA6	2.4943
TSTD2	2.4931
SNORA3B	2.4928
ABHD17B	2.4911
RBM25	2.491
GS1-279B7.1	2.4909
SNX1	2.4898
PRR22	2.4889
LSM8	2.4876
ANKRD13C	2.4862
BNIP3L	2.485
OXCT2P1	2.4845
TCP1	2.4845
STXBP2	2.4839
ZBTB44	2.4837
GNAL	2.4831
LOC100420981	2.4818
TAC4	2.4816
GPAT3	2.4806
GYPC	2.4795
CYBA	2.4792
RRP8	2.4776
OSBPL9	2.477
RMC1	2.4746
AP1AR	2.4713
BMS1	2.4704
CASTOR1	2.4693
ARHGAP42	2.4693
ABHD16A.1	2.4684
FAM199X	2.468
ZFP91	2.4655
SNORA15	2.4622
CDKL5	2.462
ARHGAP20	2.4613
CYTIP	2.4611
ZCWPW2	2.4607
IGDCC4	2.4594
H4C11	2.4594
PPP1R13B	2.458
UBN1	2.4576
ZBTB11-AS1	2.4576
SEMA4F	2.4574
TMPRSS11BNL	2.4555
GTF2IP1	2.4552
NAA25	2.455
PRRC2A.1	2.454
NRSN1	2.4519
RN7SL835P	2.45
NKIRAS2	2.4499
ZFAT	2.449
SLC7A6OS	2.4487
C2orf50	2.4472
LRP6	2.4465
TENM4	2.4464
NHSL1	2.4434
ATP1B3	2.4432
LOC349160	2.443
KIAA0753	2.4425
CENATAC	2.4418
NTRK3	2.4417
DDIT4	2.4417
MINDY4	2.4389
ZNF430.1	2.4385
ADIPOR2	2.4375
OLFML2A	2.4374
PKM	2.4354
CALB1	2.435
NTRK1	2.4347
MSRA	2.4339
NR2F1-AS1	2.4333
TMEM170A	2.4331
RBMS1	2.4328
LPIN1	2.4324
SDR42E1	2.4315
HMCN1	2.4303
MOSMO	2.4298
RBMS3	2.4279
HHIP-AS1	2.4278
ABAT	2.4275
RAC1	2.4256
SIM1	2.4245
CEP126	2.4241
C4orf19	2.4231
ELK4	2.423
AASS	2.4227
CLEC4D	2.4224
MIPOL1	2.4213
SLC4A5	2.4201
HNRNPH1	2.4185
ATXN7L1	2.4184
CBR3	2.4177
FER	2.4173
RABEP1	2.4164
MFAP1	2.4148
EPHA2	2.4147
AXIN2	2.4138
MAEA	2.4126
PCDH11X	2.4117
SYF2	2.4112
LINC02275	2.4104
BLOC1S6	2.4098
OPRD1	2.4095
ZNF557	2.4093
RPL36A-HNRNPH2	2.4078
MEI1	2.4076
KDM4B	2.4075
CFDP1	2.4066
FBXW4	2.4036
SP140L	2.4021
USP34	2.402
NLGN1	2.4019
PTPRA	2.3988
LINC00410	2.3987
FRY	2.3975
NBDY	2.3969
TSPYL1	2.3938
DHX40	2.3936
MCCC1	2.3932
ARHGEF11	2.3931
PPRC1	2.3929
MORC4	2.3922
SMAP2	2.392
EXTL3	2.3919
PHTF1	2.3918
RN7SL582P	2.3913
TNS1	2.3909
PRR18	2.3899
ARID1B	2.3892
VAC14-AS1	2.3892
GTF2H1	2.3889
CAMK1D	2.3853
OSMR	2.3852
RELL1	2.3844
ZMAT2	2.3841
SLC25A27	2.3826
CXADR	2.3805
MSANTD1	2.38
INTS12	2.3782
MYL6	2.3781
SF3B4	2.377
NUDT4	2.3724
DDX27	2.3717
NRXN2	2.3707
C2orf76	2.369
ZFYVE26	2.3687
GTF3C6	2.3678
DNAJB11	2.3649
CTSB	2.3642
TEX10	2.3638
DDX39B.1	2.3638
ARHGAP6	2.3636
AHDC1	2.3632
GSTT1	2.3626
UBE2N	2.3622
CD109	2.3616
SLC25A24P1	2.3608
EFCAB5	2.3606
CEROX1	2.3595
LOC102723385	2.3561
METRNL	2.356
LIMK2	2.3555
NMT1	2.3546
ADAM23	2.3536
MAGOH	2.3527
ZMIZ1-AS1	2.3526
HSBP1	2.3523
CTBS	2.3517
HNRNPDL	2.3486
CRLF3	2.3475
SLC4A1AP	2.3463
ATF7	2.3461
CHFR	2.3455
PLEKHG1	2.3449
LLPH	2.3437
ARMCX5	2.3433
RPL4P6	2.3405
TRAPPC13	2.3405
FSIP1	2.3403
OTUD6B	2.338
FOXO1	2.3379
PIP5K1B	2.3343
SMS	2.3335
SSTR2	2.3315
HSCB	2.3295
TRNT1	2.3288
NKRF	2.3287
TBX15	2.3274
FBXL12	2.325
HCG18.1	2.3245
GFI1B	2.3236
POT1	2.3227
PCDH9	2.3221
LRRC37A2.2	2.322
MGAT4C	2.322
ZNF689	2.3215
NEK11	2.32
MMP2	2.3166
HSP90AA6P	2.3159
LOC102724064	2.3156
ZMIZ1	2.3146
RAB18	2.3125
ZNF844	2.311
MARCHF8.1	2.3107
TNFRSF10D	2.3106
C1orf167	2.3096
TBC1D32	2.3092
ETV7	2.309
MIR6774	2.3083
ZNF543	2.307
SREBF2-AS1	2.306
MED28	2.3056
RBM26	2.3052
AAGAB	2.3036
SNX10	2.2994
BCAS1	2.299
SGCA	2.2983
EIF4G2	2.2967
NUTM2A-AS1	2.2943
ZNF337	2.2941
PCYT1A	2.2918
KLB	2.2915
HLA-DQB1.1	2.2878
BEX4	2.2868
ZMPSTE24	2.2859
LOC554249	2.2856
ZBTB38	2.2852
SPTBN5	2.285
EXOC8	2.285
DYNLT1	2.2848
MCM9	2.2837
LOC100132215	2.2805
PAQR5	2.2791
HARBI1	2.278
TG	2.2779
TNNT2	2.2775
COX10	2.2774
H2BC6	2.2773
TRAF3IP2	2.2759
RAD23B	2.275
CXXC5-AS1	2.2749
DNAI3	2.274
CCL16	2.2732
DNTTIP1	2.2726
GPR157	2.2714
C2CD2	2.2707
UBE2J2	2.2692
C9orf131	2.2688
SREBF2	2.2686
CTRC	2.2686
KHDRBS1	2.2675
ZBED5	2.2672
ATP6V1FNB	2.2659
GALK2	2.2639
LEMD3	2.2626
CUL3	2.2624
AKT3.1	2.2619
INPP5F	2.2597
RBBP9	2.259
PAK1	2.2585
COMMD1	2.2585
C4A.1	2.2566
ULBP3	2.2536
LINC00504	2.2535
GBE1	2.2524
TMEM213	2.2524
TRIM38	2.2514
HCG23	2.251
EDRF1	2.2508
BBC3	2.2494
MSN	2.2478
SCARF1	2.2476
FZD1	2.2463
ACTA2	2.2455
TMC1	2.2453
GKAP1	2.245
MCC	2.2443
LRRC70	2.2435
PCCA	2.243
OBI1	2.2412
CTTNBP2	2.2404
SLC35E1	2.24
TOR1AIP1	2.2384
GPX4	2.2383
FLJ40194	2.2381
HMGB1P39	2.2362
MAK16	2.2341
NCBP2	2.2314
MRFAP1	2.2301
OSBPL11	2.2297
KLHL12	2.2294
GNPDA2	2.2291
ELP2	2.2274
SLC37A3	2.2273
STYK1	2.2266
ELMOD1	2.2265
THAP12	2.2253
HIGD1A	2.2248
HLA-DQA1	2.2248
ATP8B2	2.2247
RPS6KA6	2.2246
ZNF888	2.2246
RNASEK	2.2246
STXBP5-AS1	2.2245
LINC02805	2.2228
PDGFC	2.2224
SYT4	2.2211
RASGRF2	2.2181
ATG4B	2.2181
MAP3K10	2.2175
FSCN2	2.2149
KCNJ14	2.2141
SLC4A7	2.2137
LPAR3	2.2132
WARS2-AS1	2.213
CFP	2.2123
EPS15L1	2.2093
METTL16	2.209
MMP23B	2.2087
DCAF17	2.2076
GOSR2	2.2066
PDE4D	2.2052
MAPKBP1	2.2048
SMN1.1	2.2014
LINC01447	2.2008
CLN5	2.1984
NDE1	2.1982
DERL2	2.1972
PLEC	2.1972
SERPINB1	2.1965
SMARCA5	2.1963
ANK3	2.1955
INA	2.1949
SNX16	2.1941
MEAK7	2.1936
LINC01359	2.1934
CDC27	2.1933
SUGT1	2.1929
YY2	2.1916
C5orf17	2.1915
DDX19B	2.1912
MAGEB2	2.1911
RAB11FIP2	2.1903
CCDC130	2.1888
FAHD2CP	2.1874
CYP1A2	2.187
TBC1D3D	2.1866
SLC37A2	2.1854
FGR	2.1846
DPYSL5	2.1845
SPP2	2.1839
TMEM158	2.1836
ZNF615	2.1827
LOC101928626	2.1816
GNA13	2.1795
TTYH3	2.1791
KIF27	2.1782
MAP4K5	2.1782
CD163L1	2.174
GAB1	2.172
BBS12	2.1711
MARF1	2.1708
ZNF181	2.1705
H2BC19P	2.1693
AKAP6	2.1691
MGRN1	2.1683
WDR11-AS1	2.1666
SLC4A4	2.1659
TRIM37	2.1635
PTGES3	2.1624
RASA4	2.1618
ZNF608	2.159
TCEAL3	2.1586
CKS2	2.1579
DUS3L	2.1571
LARP7	2.1568
CENPCP1	2.1547
LYRM2	2.1539
TDRD10	2.1511
UNC13A	2.1503
RN7SL525P	2.1501
USP36	2.1469
IL10RB	2.1458
C6orf120	2.1445
ZSCAN18	2.1441
TPSB2	2.1438
AKAP12	2.1426
ACAP2	2.1415
CHD9	2.1407
EIF5A2	2.1402
IFI30	2.14
ANKRD26	2.1398
KBTBD12	2.1395
FAN1	2.1371
GINS4	2.137
SEC14L2	2.1366
TCP11L2	2.1358
GABARAPL2	2.1353
SAMSN1	2.1342
SEMA5A	2.1316
XPO1	2.1308
ZNF799	2.1299
PHKG1	2.1296
TIMM17B	2.1291
MBD5	2.129
RN7SL1	2.1273
ZNF43	2.1264
PLEKHA5	2.1245
RYBP	2.1237
SEM1	2.1225
RAB3B	2.1211
MBD1	2.1205
DDX59-AS1	2.1198
MAP7	2.1195
FSD1	2.1183
TRPC4AP	2.1182
POM121	2.1179
ALKAL1	2.1177
PHACTR4	2.1176
RPAIN	2.1176
LOC100506675	2.1175
N4BP2L2	2.1171
CLCF1	2.117
PRICKLE2-AS3	2.1134
TRAPPC11	2.1129
ENAH	2.1127
TPM3P9	2.1123
LUC7L	2.1115
RIPOR2	2.1102
EIF3I	2.1071
CADM1	2.1065
UBA3	2.1059
ASNSD1	2.1059
IL27RA	2.1049
CAPZA1	2.1045
TPRX1	2.1038
ACAN	2.1028
ANAPC2	2.1018
NMI	2.1006
H2BU1	2.0996
DOCK9	2.0991
DNMBP	2.0949
HECTD4	2.0934
IZUMO1	2.0923
H2BC20P	2.092
LEPROT	2.0917
NRDC	2.0882
CCDC97	2.086
ZIC5	2.0846
RAB38	2.0845
CD9	2.0829
MIP	2.082
PRND	2.082
B4GALNT3	2.0799
MRM3	2.0792
RN7SL690P	2.0788
CASP1	2.0766
ZNF354A	2.0766
ABHD18	2.0758
ZNF764	2.0757
FTX	2.0738
RPRD2	2.073
ANGPTL6	2.073
EMP2	2.0725
STRN	2.069
MSANTD4	2.0685
ILK	2.0681
SUDS3	2.0645
TIMM10B	2.0636
ZNF440	2.0631
AIM2	2.0629
CDC26	2.0624
ADM5	2.0622
RALGAPA1P1	2.0621
PCAT1	2.0598
RHEB	2.0584
KCNJ16	2.0575
NELFCD	2.0572
PUM2	2.0571
SLC39A7	2.0564
HNRNPL	2.0564
EMC8	2.0562
PPP2R5B	2.0561
CTIF	2.0547
ZNF106	2.0543
EXOC1	2.0533
GARRE1	2.0525
EIF4E	2.0511
STMND1	2.0511
PDXK	2.0506
PCSK7	2.0505
SSH1	2.0501
C12orf43	2.0497
GTF2A1	2.0496
RNF121	2.0487
ZNF121	2.047
PIK3R1	2.0459
LOC101927727	2.0459
DHX29	2.0455
KLC4	2.0443
CEMIP	2.0433
TXNL1	2.0428
TRIM16L	2.0425
LRRC37A	2.042
EI24	2.0419
L3MBTL4	2.0418
NOL8	2.0418
INMT	2.0413
MRPS31P5	2.0402
CAPN12	2.0397
MTCO1P25	2.0391
MGAM	2.0361
FAM153B	2.0359
PATJ	2.0339
LGI1	2.0337
UBB	2.0328
LOXL1-AS1	2.0328
MUL1	2.0326
EIF2S1	2.032
PPARA	2.0302
TSPY26P	2.03
MOB2	2.0281
TMEM208	2.028
CELF6	2.0277
TARM1	2.027
PPAN-P2RY11	2.0248
TMED7-TICAM2	2.0241
RPAP2	2.0237
RNF38	2.0227
MRTFB	2.0216
RANBP3	2.0201
WASHC2C	2.0197
ZNF600	2.0194
COMMD10	2.0183
BTBD11	2.018
AHSA2P	2.0173
MPHOSPH10	2.0161
RBSN	2.0158
PDZD2	2.0133
HSPA8	2.0133
ARHGEF37	2.0126
CEBPD	2.0125
MEIS2	2.0124
VAMP2	2.0124
MTAP	2.0112
ZNF10	2.0083
CYB5R1	2.0082
BCLAF3	2.0078
TMEM138	2.0075
TRDMT1	2.0068
LY6G5C.1	2.0054
ELOVL6	2.0052
C8orf76	2.0037
MT1X	2.0033
BPTFP1	2.0022
GLMN	2.0014
TPRG1	2.0012
MARCHF3	1.9995
FN1	1.9991
INTS2	1.9974
GAPVD1	1.9959
FNBP1	1.9944
NOTCH3	1.9926
TAF1A	1.9904
LINC01541	1.9863
ZNF41	1.9861
AK7	1.9855
FLACC1	1.9854
MXI1	1.9852
HAPLN3	1.9843
MLF2	1.9832
RBM15	1.9827
ASPA	1.9816
FCGR1B	1.9814
CCNH	1.981
HNRNPD	1.9803
PKNOX1	1.9779
ADORA2B	1.9772
RBMX2	1.977
SOCS5	1.9754
TSHZ2	1.9737
TOR3A	1.9733
SLC15A1	1.973
PAIP1	1.9728
NOP14	1.9724
ANGPT4	1.9712
GPR75	1.9709
ZNF670	1.9705
HECW2	1.969
EMC6	1.9675
TMEM41B	1.9666
ITM2B	1.9651
MPP5	1.9609
TRGC1	1.9605
UBA2	1.9601
ABR.2	1.9568
SULT2A1	1.9537
CC2D2A	1.9519
TMEM67	1.9515
LOC101927533	1.9513
DNAH6	1.9511
WDR45	1.951
VAMP4	1.9499
ST8SIA6	1.9496
LINC00964	1.9494
LOC101929420	1.9483
RN7SL440P	1.9477
TEX261	1.9467
PIGO	1.9456
SSPN	1.9455
INAFM1	1.9453
CXCL14	1.9445
AICDA	1.9437
RNF217	1.9417
DCN	1.9413
GAPDHP62	1.9408
G3BP1	1.9401
TMCO2	1.9401
RBBP5	1.94
POLR2C	1.9399
CCDC91	1.9397
ZNF263	1.9394
ELP3	1.9385
NUDC	1.9371
FAM168B	1.9369
SLC6A12	1.9364
RRM2B	1.9362
EFTUD2	1.9324
OGT	1.932
ATF4	1.9314
PARP11	1.9308
ANXA8L1	1.9292
ZNF649	1.926
GNL1.1	1.9255
RCC1L	1.9226
TUBB6	1.9224
VIT	1.9218
DNAH11	1.9209
MFSD9	1.9187
VWA3B	1.9185
TBL1Y	1.9183
SLC30A5	1.917
GATC	1.9164
HAVCR2	1.9141
LINC00304	1.9136
KANSL3	1.9125
STIL	1.9075
RBM11	1.9075
HIP1R	1.9064
RINT1	1.9056
RPUSD4	1.9039
LINC01197	1.9033
TMSB4Y	1.9029
CD38	1.9029
AGK	1.9028
FAM200A	1.9026
CBWD3	1.9022
IGF1	1.9009
FSIP2	1.9006
EIF1AX	1.9004
ACTR2	1.8997
DVL3	1.8997
TTLL11	1.8994
CMKLR1	1.8968
YWHAG	1.8963
TRRAP	1.8956
LCLAT1	1.8942
FYN	1.8936
NUAK2	1.8915
PHYH	1.8909
H3C10	1.8898
TTLL4	1.8897
HHIP	1.8882
LINC02731	1.8881
ZNF707	1.8869
MLLT10	1.8851
SMARCC1	1.8843
GET4	1.8833
FAM157A	1.8825
LINC00939	1.8822
H2AC20	1.8821
SH3RF2	1.8814
KIAA1958	1.8811
ZNF182	1.8795
HNRNPU	1.8791
CIRBP	1.879
MEF2C	1.8778
ADCY2	1.8768
HIKESHI	1.876
MBIP	1.8754
TAS2R14	1.8753
MAPRE2	1.8746
SLC16A12	1.8725
DOLK	1.8707
ZNF84-DT	1.8698
DNASE1L3	1.8687
ABI2	1.8677
LUADT1	1.8676
LINC02324	1.866
STK33	1.8653
AP3B2	1.8651
CDK13	1.8645
LRRC59	1.8641
DGKB	1.863
HSF1	1.8624
ZBTB6	1.8618
COLEC12	1.8617
MRPL38	1.86
HPCAL4	1.8585
MTG2	1.8584
ARPC2	1.8584
PSMD12	1.8577
EVA1B	1.857
STRAP	1.8566
LIX1L-AS1	1.8563
LOC105369332	1.8536
MTND2P12	1.8533
PSMA1	1.8524
FBXO48	1.8516
GP2	1.8516
LONRF3	1.8508
TRGJP1	1.8498
TRGV7	1.8484
FOXP4	1.8479
DTX2P1-UPK3BP1-PMS2P11	1.8464
ZDBF2	1.8456
CFAP74	1.8449
KANSL2	1.8427
ZNF548	1.8421
JMJD7	1.8419
RN7SL2	1.841
CD99P1	1.8409
FZD6	1.8408
BMERB1	1.8396
OR6K1P	1.8395
GLB1L3	1.8374
KATNIP	1.8369
MED12L	1.8367
UBTD2	1.8365
LINC01588	1.8363
MOCS3	1.8363
FXR2	1.8363
U2AF1	1.8358
RBM41	1.8323
ARHGAP5	1.8312
FAM221B	1.8307
TPP1	1.8294
ZNF268	1.8265
AGAP6	1.8264
TPD52L2	1.8262
ATP6V1E1	1.8247
KMT2D	1.8239
TNRC6B	1.8229
SERF2	1.8229
BCL11B	1.8201
COL24A1	1.8197
NR1I3	1.8191
MBTPS2	1.8189
SAP18	1.8175
GOLGA6L7	1.8175
MTHFD2L	1.8159
ATP8B4	1.8148
PPT2.1	1.813
SLC19A3	1.8122
GPR37L1	1.812
SHANK2-AS3	1.812
GTF2E2	1.8115
TICAM2	1.8114
GPNMB	1.8108
LINC01630	1.8097
LRRC37B	1.8096
PDE6A	1.8094
NOVA2	1.809
FAM171A1	1.8084
ZNF737	1.8079
POLG	1.8076
SPACA6P-AS	1.8073
ZNF484	1.8073
GALNT15	1.8064
SPATA6L	1.8063
KCNMB1	1.8059
NAV1	1.8053
GNG5	1.8042
FNBP1L	1.803
MADD	1.8008
ST3GAL2	1.7995
HSD17B7	1.7988
DHRS2	1.7985
SLC25A26	1.7983
ACTR8	1.7977
SNRPB2	1.7973
USP14	1.797
SYCP3	1.7958
ZNF670-ZNF695	1.7942
REPS1	1.7933
LOC105372321	1.7924
E2F6	1.7918
GID8	1.7899
C1orf198	1.7897
LINC01254	1.7884
CDK3	1.788
PTPRE	1.7861
NANS	1.786
TFPI	1.7859
FPR1	1.7858
SUB1	1.7849
TMPRSS11B	1.7844
PIK3CD	1.7821
CYP51A1	1.7812
CSDE1	1.781
CHRNA7	1.7808
TAPBP	1.7795
LGSN	1.7788
EMCN	1.7786
CYP8B1	1.7784
HNRNPA2B1	1.7781
CASTOR2	1.7777
LAP3P2	1.7765
C8orf33	1.7761
UBE2K	1.7759
C1orf158	1.7756
CDK7	1.7756
LOC654780	1.775
PPHLN1	1.7749
HMGB3P29	1.7748
TULP4	1.7737
LUC7L2	1.7728
NT5C3A	1.7723
PMM2	1.7716
DAPK1	1.7714
CD2AP	1.7711
HLA-DRA.1	1.7705
ILF3	1.7704
NUAK1	1.7702
ENDOV	1.7682
ATXN7L3B	1.768
SLC35B2	1.768
AMER2	1.766
PARP6	1.7657
DLC1	1.7652
PLIN5	1.7631
SMPD3	1.763
ZCCHC4	1.761
STAMBP	1.7605
SARAF	1.7578
SLC22A1	1.7566
SLC22A23	1.7556
LL22NC03-63E9.3	1.7555
MIR590	1.7555
ABCC2	1.7546
GNL3LP1	1.7539
LOC100506551	1.7533
COPB1	1.7529
FMNL2	1.7529
PIK3CD-AS1	1.7528
RNF180	1.7526
TBC1D3	1.7526
ZZZ3	1.7523
SERINC5	1.7503
NRL	1.7501
SELENOS	1.7494
IL2RG	1.7484
USP40	1.7473
PACRG	1.7465
NDUFA5	1.7459
KIAA1328	1.7447
FAM106A	1.7444
CCDC80	1.7441
TRIM2	1.7441
PELO	1.744
FNDC11	1.7432
XRN2	1.7425
SIAH1	1.7402
IFNLR1	1.7387
TMX4	1.7386
PPP2R5A	1.7379
CLEC18C	1.7378
LINC00581	1.7375
SNHG5	1.7374
XPO4	1.7363
LOC730338	1.7361
CLIC1	1.7359
LINC01972	1.7359
TMEM45B	1.7353
PRKCI	1.7353
SIGLEC1	1.7338
SLC30A3	1.7334
TMEM259	1.7334
CES1	1.7327
CCDC47	1.7317
SNORD83A	1.7313
OCIAD1	1.7313
FHAD1	1.7313
MOGAT3	1.7312
ZSWIM8	1.731
ATXN7L3	1.7308
GRSF1	1.7307
TAP1	1.7266
C4A	1.7263
NRG4	1.7261
LAMTOR5	1.7258
ZNF90	1.7257
TMIGD2	1.7247
ZNF519	1.724
DGUOK	1.7231
CHERP	1.7231
RAB11FIP4	1.7229
MECOM	1.7207
LOC101928446	1.7199
PCBP2-OT1	1.7184
IRF2BPL	1.7183
KCNB1	1.7172
LMNA	1.7162
CD151	1.7156
IQGAP2	1.7143
