GO.ID	Description	p.Val	FDR	Phenotype	Genes
METABOLISM%REACTOME%R-HSA-1430728.14	Metabolism	7.254899392743696e-11	7.254899392743696e-11	+1	
ORGANOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0019637	organophosphate metabolic process	9.107169107036606e-11	9.107169107036606e-11	+1	
DNA REPAIR%REACTOME DATABASE ID RELEASE 78%73894	DNA Repair	1.3446129022560005e-10	1.3446129022560005e-10	+1	
POSITIVE REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0010638	positive regulation of organelle organization	1.494544183802181e-10	1.494544183802181e-10	+1	
PROTEIN KINASE ACTIVITY%GOMF%GO:0004672	protein kinase activity	2.0339133957273077e-10	2.0339133957273077e-10	+1	
GTPASE REGULATOR ACTIVITY%GOMF%GO:0030695	GTPase regulator activity	2.5260335013305993e-10	2.5260335013305993e-10	+1	
NUCLEOSIDE-TRIPHOSPHATASE REGULATOR ACTIVITY%GOMF%GO:0060589	nucleoside-triphosphatase regulator activity	2.5260335013305993e-10	2.5260335013305993e-10	+1	
POSITIVE REGULATION OF SIGNALING%GOBP%GO:0023056	positive regulation of signaling	3.1013597537189713e-10	3.1013597537189713e-10	+1	
CELLULAR RESPONSE TO STIMULUS%GOBP%GO:0051716	cellular response to stimulus	3.154229881593318e-10	3.154229881593318e-10	+1	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	4.5452407862165295e-10	4.5452407862165295e-10	+1	
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	DNA-templated DNA replication	4.5452407862165295e-10	4.5452407862165295e-10	+1	
PROTEIN-CONTAINING COMPLEX ORGANIZATION%GOBP%GO:0043933	protein-containing complex organization	4.572317570401772e-10	4.572317570401772e-10	+1	
POSITIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010647	positive regulation of cell communication	5.557354992545341e-10	5.557354992545341e-10	+1	
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOMF%GO:0071840	cellular component organization or biogenesis	5.97489981602772e-10	5.97489981602772e-10	+1	
NUCLEOBASE-CONTAINING SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0055086	nucleobase-containing small molecule metabolic process	6.201082260645658e-10	6.201082260645658e-10	+1	
POSITIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051130	positive regulation of cellular component organization	6.42380240347444e-10	6.42380240347444e-10	+1	
VEGFA VEGFR2 SIGNALING%WIKIPATHWAYS_20240910%WP3888%HOMO SAPIENS	VEGFA VEGFR2 signaling	7.385020491734241e-10	7.385020491734241e-10	+1	
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793	regulation of developmental process	7.464948132465773e-10	7.464948132465773e-10	+1	
REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:0033044	regulation of chromosome organization	9.978504844265107e-10	9.978504844265107e-10	+1	
POST-TRANSLATIONAL PROTEIN MODIFICATION%GOBP%GO:0043687	post-translational protein modification	1.3385342462466767e-9	1.3385342462466767e-9	+1	
CELL DEATH%GOBP%GO:0008219	cell death	1.4307839368049968e-9	1.4307839368049968e-9	+1	
IDENTICAL PROTEIN BINDING%GOMF%GO:0042802	identical protein binding	1.7759756647287006e-9	1.7759756647287006e-9	+1	
NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOMF%GO:0006139	nucleobase-containing compound metabolic process	1.912712444514171e-9	1.912712444514171e-9	+1	
REGULATION OF AUTOPHAGY%GOBP%GO:0010506	regulation of autophagy	2.1358986710008713e-9	2.1358986710008713e-9	+1	
PROGRAMMED CELL DEATH%GOBP%GO:0012501	programmed cell death	2.1518980728007114e-9	2.1518980728007114e-9	+1	
CELLULAR COMPONENT ORGANIZATION%GOMF%GO:0016043	cellular component organization	2.6432921320340335e-9	2.6432921320340335e-9	+1	
REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031329	regulation of cellular catabolic process	3.377451052976552e-9	3.377451052976552e-9	+1	
DNA BINDING%GOMF%GO:0003677	DNA binding	4.6075516105528485e-9	4.6075516105528485e-9	+1	
APOPTOTIC PROCESS%GOBP%GO:0006915	apoptotic process	4.620782310731787e-9	4.620782310731787e-9	+1	
NEGATIVE REGULATION OF CELL CYCLE%GOBP%GO:0045786	negative regulation of cell cycle	5.116050207977215e-9	5.116050207977215e-9	+1	
NUCLEAR CHROMOSOME%GOCC%GO:0000228	nuclear chromosome	5.500293090912184e-9	5.500293090912184e-9	+1	
TRANSCRIPTION REGULATOR COMPLEX%GOCC%GO:0005667	transcription regulator complex	5.711546237486933e-9	5.711546237486933e-9	+1	
PROTEIN CATABOLIC PROCESS%GOBP%GO:0030163	protein catabolic process	5.778145261777033e-9	5.778145261777033e-9	+1	
MRNA METABOLIC PROCESS%GOBP%GO:0016071	mRNA metabolic process	6.169908231620829e-9	6.169908231620829e-9	+1	
TRANSCRIPTION COREGULATOR ACTIVITY%GOMF%GO:0003712	transcription coregulator activity	7.3093508692928244e-9	7.3093508692928244e-9	+1	
REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001233	regulation of apoptotic signaling pathway	9.078925848625193e-9	9.078925848625193e-9	+1	
DISEASES OF SIGNAL TRANSDUCTION BY GROWTH FACTOR RECEPTORS AND SECOND MESSENGERS%REACTOME%R-HSA-5663202.13	Diseases of signal transduction by growth factor receptors and second messengers	1.074164104015307e-8	1.074164104015307e-8	+1	
GOLGI APPARATUS%GOCC%GO:0005794	Golgi apparatus	1.1430352010504904e-8	1.1430352010504904e-8	+1	
CYTOSKELETON ORGANIZATION%GOBP%GO:0007010	cytoskeleton organization	1.259323469521378e-8	1.259323469521378e-8	+1	
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION%GOBP%GO:0032446	protein modification by small protein conjugation	1.5611830108001975e-8	1.5611830108001975e-8	+1	
NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0034655	nucleobase-containing compound catabolic process	1.65097228629845e-8	1.65097228629845e-8	+1	
NEGATIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0000122	negative regulation of transcription by RNA polymerase II	1.7356331226107845e-8	1.7356331226107845e-8	+1	
MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 78%199991	Membrane Trafficking	1.8755366611325204e-8	1.8755366611325204e-8	+1	
PROTEOLYSIS INVOLVED IN PROTEIN CATABOLIC PROCESS%GOBP%GO:0051603	proteolysis involved in protein catabolic process	2.2791432316950353e-8	2.2791432316950353e-8	+1	
NUCLEAR ENVELOPE%GOCC%GO:0005635	nuclear envelope	2.649632607708477e-8	2.649632607708477e-8	+1	
TRANSPORT%GOBP%GO:0006810	transport	2.6919450452618834e-8	2.6919450452618834e-8	+1	
IMMUNE SYSTEM%REACTOME%R-HSA-168256.9	Immune System	2.8395417242828425e-8	2.8395417242828425e-8	+1	
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL%GOBP%GO:0070647	protein modification by small protein conjugation or removal	3.149531652112759e-8	3.149531652112759e-8	+1	
HISTONE BINDING%GOMF%GO:0042393	histone binding	3.879046290197833e-8	3.879046290197833e-8	+1	
NUCLEOSIDE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0006753	nucleoside phosphate metabolic process	4.815701113143122e-8	4.815701113143122e-8	+1	
MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.8	Mitotic Prometaphase	4.8307537479211675e-8	4.8307537479211675e-8	+1	
DNA RECOMBINATION%GOBP%GO:0006310	DNA recombination	5.0789203683610124e-8	5.0789203683610124e-8	+1	
NEGATIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010948	negative regulation of cell cycle process	5.508295673946494e-8	5.508295673946494e-8	+1	
CHROMATIN ORGANIZATION%GOMF%GO:0006325	chromatin organization	5.669061068589716e-8	5.669061068589716e-8	+1	
BOUNDING MEMBRANE OF ORGANELLE%GOCC%GO:0098588	bounding membrane of organelle	6.332154023809186e-8	6.332154023809186e-8	+1	
NEGATIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901988	negative regulation of cell cycle phase transition	6.344032768873535e-8	6.344032768873535e-8	+1	
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	cell cycle checkpoint signaling	6.630483529850213e-8	6.630483529850213e-8	+1	
REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0051174	regulation of phosphorus metabolic process	6.995217483082235e-8	6.995217483082235e-8	+1	
REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019220	regulation of phosphate metabolic process	6.995217483082235e-8	6.995217483082235e-8	+1	
CELL CYCLE CHECKPOINTS%REACTOME%R-HSA-69620.4	Cell Cycle Checkpoints	7.112658467666288e-8	7.112658467666288e-8	+1	
NUCLEAR SPECK%GOCC%GO:0016607	nuclear speck	7.318798486676882e-8	7.318798486676882e-8	+1	
ORGANELLE LOCALIZATION%GOBP%GO:0051640	organelle localization	7.710387560350508e-8	7.710387560350508e-8	+1	
TRANSCRIPTIONAL REGULATION BY TP53%REACTOME%R-HSA-3700989.8	Transcriptional Regulation by TP53	8.052018049673896e-8	8.052018049673896e-8	+1	
MACROMOLECULE METABOLIC PROCESS%GOMF%GO:0043170	macromolecule metabolic process	8.181830225454655e-8	8.181830225454655e-8	+1	
RECOMBINATIONAL REPAIR%GOBP%GO:0000725	recombinational repair	9.2140082304462e-8	9.2140082304462e-8	+1	
REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0043254	regulation of protein-containing complex assembly	9.728860926077675e-8	9.728860926077675e-8	+1	
ATP-DEPENDENT ACTIVITY, ACTING ON DNA%GOMF%GO:0008094	ATP-dependent activity, acting on DNA	9.938152292993722e-8	9.938152292993722e-8	+1	
REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000779	regulation of double-strand break repair	1.0113163667053943e-7	1.0113163667053943e-7	+1	
POST-TRANSLATIONAL PROTEIN MODIFICATION%REACTOME DATABASE ID RELEASE 78%597592	Post-translational protein modification	1.453139694010478e-7	1.453139694010478e-7	+1	
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0000724	double-strand break repair via homologous recombination	1.647114099720882e-7	1.647114099720882e-7	+1	
ESTABLISHMENT OF PROTEIN LOCALIZATION%GOBP%GO:0045184	establishment of protein localization	1.9084034576029613e-7	1.9084034576029613e-7	+1	
POSITIVE REGULATION OF DNA REPAIR%GOBP%GO:0045739	positive regulation of DNA repair	2.0878735061460237e-7	2.0878735061460237e-7	+1	
SPINDLE%GOCC%GO:0005819	spindle	2.1615904679360998e-7	2.1615904679360998e-7	+1	
NEGATIVE REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0010639	negative regulation of organelle organization	2.1803422705417346e-7	2.1803422705417346e-7	+1	
REGULATION OF PROTEOLYSIS%GOBP%GO:0030162	regulation of proteolysis	2.1900034036765397e-7	2.1900034036765397e-7	+1	
PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0065003	protein-containing complex assembly	2.2731289144191863e-7	2.2731289144191863e-7	+1	
NEGATIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045930	negative regulation of mitotic cell cycle	2.4463032898454955e-7	2.4463032898454955e-7	+1	
TRANSCRIPTION FACTOR BINDING%GOMF%GO:0008134	transcription factor binding	2.5299279609278115e-7	2.5299279609278115e-7	+1	
CHROMOSOME SEGREGATION%GOBP%GO:0007059	chromosome segregation	2.621798740293805e-7	2.621798740293805e-7	+1	
POSITIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043085	positive regulation of catalytic activity	2.6990289387185277e-7	2.6990289387185277e-7	+1	
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	sister chromatid segregation	2.8733328923176853e-7	2.8733328923176853e-7	+1	
SPINDLE ORGANIZATION%GOBP%GO:0007051	spindle organization	2.915461203524421e-7	2.915461203524421e-7	+1	
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	ribonucleoprotein complex biogenesis	3.9596481339223935e-7	3.9596481339223935e-7	+1	
ENDOSOME%GOCC%GO:0005768	endosome	4.038789311756908e-7	4.038789311756908e-7	+1	
RIBONUCLEOPROTEIN COMPLEX%GOCC%GO:1990904	ribonucleoprotein complex	5.220795958285469e-7	5.220795958285469e-7	+1	
REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831	regulation of response to biotic stimulus	5.341700981134151e-7	5.341700981134151e-7	+1	
REGULATION OF PHOSPHORYLATION%GOBP%GO:0042325	regulation of phosphorylation	5.509599482335012e-7	5.509599482335012e-7	+1	
SIGNALING BY INTERLEUKINS%REACTOME%R-HSA-449147.13	Signaling by Interleukins	5.628904261460349e-7	5.628904261460349e-7	+1	
SIGNAL TRANSDUCTION IN RESPONSE TO DNA DAMAGE%GOBP%GO:0042770	signal transduction in response to DNA damage	5.94952724469531e-7	5.94952724469531e-7	+1	
MODIFICATION-DEPENDENT MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0043632	modification-dependent macromolecule catabolic process	6.994667684967107e-7	6.994667684967107e-7	+1	
METHYLATED HISTONE BINDING%GOMF%GO:0035064	methylated histone binding	7.449708339697073e-7	7.449708339697073e-7	+1	
CHROMATIN MODIFYING ENZYMES%REACTOME%R-HSA-3247509.6	Chromatin modifying enzymes	7.986258529472262e-7	7.986258529472262e-7	+1	
CHROMATIN ORGANIZATION%REACTOME%R-HSA-4839726.4	Chromatin organization	7.986258529472262e-7	7.986258529472262e-7	+1	
NEGATIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051129	negative regulation of cellular component organization	7.988399083071734e-7	7.988399083071734e-7	+1	
CYTOPLASMIC VESICLE%GOCC%GO:0031410	cytoplasmic vesicle	8.745120604294144e-7	8.745120604294144e-7	+1	
INTRACELLULAR VESICLE%GOCC%GO:0097708	intracellular vesicle	8.931176270221536e-7	8.931176270221536e-7	+1	
PROTEASOMAL PROTEIN CATABOLIC PROCESS%GOBP%GO:0010498	proteasomal protein catabolic process	9.087742228641428e-7	9.087742228641428e-7	+1	
CELLULAR METABOLIC PROCESS%GOMF%GO:0044237	cellular metabolic process	9.147597730125633e-7	9.147597730125633e-7	+1	
PMC8036803__F2	Msi1 impact on cell cycle and division	9.152484528842334e-7	9.152484528842334e-7	+1	
UBIQUITIN-LIKE PROTEIN LIGASE BINDING%GOMF%GO:0044389	ubiquitin-like protein ligase binding	9.270948514438075e-7	9.270948514438075e-7	+1	
PROTEIN-CONTAINING COMPLEX BINDING%GOMF%GO:0044877	protein-containing complex binding	9.282612207914085e-7	9.282612207914085e-7	+1	
NUCLEIC ACID CATABOLIC PROCESS%GOBP%GO:0141188	nucleic acid catabolic process	9.434870227127064e-7	9.434870227127064e-7	+1	
REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051239	regulation of multicellular organismal process	0.0000010257567245080867	0.0000010257567245080867	+1	
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	mitotic nuclear division	0.0000010342462324038924	0.0000010342462324038924	+1	
RESPONSE TO PEPTIDE%GOBP%GO:1901652	response to peptide	0.0000010532892066331588	0.0000010532892066331588	+1	
RESPONSE TO CYTOKINE%GOBP%GO:0034097	response to cytokine	0.0000010532892066331588	0.0000010532892066331588	+1	
INTRACELLULAR SIGNALING CASSETTE%GOBP%GO:0141124	intracellular signaling cassette	0.0000010545408475472714	0.0000010545408475472714	+1	
MODIFICATION-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0019941	modification-dependent protein catabolic process	0.0000011140334088796826	0.0000011140334088796826	+1	
CHROMOSOME, CENTROMERIC REGION%GOCC%GO:0000775	chromosome, centromeric region	0.000001224075939215933	0.000001224075939215933	+1	
POSITIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010628	positive regulation of gene expression	0.0000012264520845095389	0.0000012264520845095389	+1	
PROTEIN UBIQUITINATION%GOBP%GO:0016567	protein ubiquitination	0.00000128063343386615	0.00000128063343386615	+1	
METHYLATION-DEPENDENT PROTEIN BINDING%GOMF%GO:0140034	methylation-dependent protein binding	0.0000013713497865182263	0.0000013713497865182263	+1	
SITE OF DNA DAMAGE%GOCC%GO:0090734	site of DNA damage	0.0000014734195825574136	0.0000014734195825574136	+1	
UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0006511	ubiquitin-dependent protein catabolic process	0.000001539751345744683	0.000001539751345744683	+1	
POSITIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009896	positive regulation of catabolic process	0.0000015585959530144447	0.0000015585959530144447	+1	
PMC7057977__F5	COAD “cyan” module APOL6 subnetwork	0.000001576377167284093	0.000001576377167284093	+1	
DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS	Direct p53 effectors	0.0000016802735359547752	0.0000016802735359547752	+1	
REGULATION OF DNA RECOMBINATION%GOBP%GO:0000018	regulation of DNA recombination	0.0000016934827654486132	0.0000016934827654486132	+1	
CHROMATIN BINDING%GOMF%GO:0003682	chromatin binding	0.0000017166954211150695	0.0000017166954211150695	+1	
MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0000070	mitotic sister chromatid segregation	0.000001722902113154847	0.000001722902113154847	+1	
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901991	negative regulation of mitotic cell cycle phase transition	0.0000018679551969663785	0.0000018679551969663785	+1	
REPLICATION FORK%GOCC%GO:0005657	replication fork	0.000002103059048157605	0.000002103059048157605	+1	
ENDOMEMBRANE SYSTEM ORGANIZATION%GOBP%GO:0010256	endomembrane system organization	0.0000021833826609048132	0.0000021833826609048132	+1	
MITOTIC CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0007093	mitotic cell cycle checkpoint signaling	0.0000022133128856694945	0.0000022133128856694945	+1	
VACUOLE%GOCC%GO:0005773	vacuole	0.0000022373333654318335	0.0000022373333654318335	+1	
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.7	Antiviral mechanism by IFN-stimulated genes	0.000002298988572168233	0.000002298988572168233	+1	
M PHASE%REACTOME DATABASE ID RELEASE 78%68886	M Phase	0.0000024444733368701132	0.0000024444733368701132	+1	
REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045088	regulation of innate immune response	0.0000024575479357070532	0.0000024575479357070532	+1	
REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032479	regulation of type I interferon production	0.0000025152573822020623	0.0000025152573822020623	+1	
INFECTIOUS DISEASE%REACTOME DATABASE ID RELEASE 78%5663205	Infectious disease	0.0000025356395384544624	0.0000025356395384544624	+1	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.0000026799010879877825	0.0000026799010879877825	+1	
DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006351	DNA-templated transcription	0.0000027490508781326165	0.0000027490508781326165	+1	
RNA CATABOLIC PROCESS%GOBP%GO:0006401	RNA catabolic process	0.0000027787005743644448	0.0000027787005743644448	+1	
NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:1901293	nucleoside phosphate biosynthetic process	0.0000028703190236621387	0.0000028703190236621387	+1	
HISTONE MODIFYING ACTIVITY%GOMF%GO:0140993	histone modifying activity	0.000003190414582249845	0.000003190414582249845	+1	
NUCLEIC ACID METABOLIC PROCESS%GOMF%GO:0090304	nucleic acid metabolic process	0.0000036208122544771382	0.0000036208122544771382	+1	
BIOSYNTHETIC PROCESS%GOMF%GO:0009058	biosynthetic process	0.000003816651004170078	0.000003816651004170078	+1	
REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0010569	regulation of double-strand break repair via homologous recombination	0.000004018779358027476	0.000004018779358027476	+1	
PMC4697333__F5	Reconstruction of TNFAsignaling pathway (target instance)	0.000004158124932681637	0.000004158124932681637	+1	
UBIQUITIN LIGASE COMPLEX%GOCC%GO:0000151	ubiquitin ligase complex	0.00000431664742716673	0.00000431664742716673	+1	
CHROMOSOME, TELOMERIC REGION%GOCC%GO:0000781	chromosome, telomeric region	0.000004361582485077639	0.000004361582485077639	+1	
PROTEIN DOMAIN SPECIFIC BINDING%GOMF%GO:0019904	protein domain specific binding	0.000004719834873685447	0.000004719834873685447	+1	
LYTIC VACUOLE%GOCC%GO:0000323	lytic vacuole	0.000004720966856901683	0.000004720966856901683	+1	
LYSOSOME%GOCC%GO:0005764	lysosome	0.000004720966856901683	0.000004720966856901683	+1	
PROTEIN TRANSPORT%GOBP%GO:0015031	protein transport	0.000004959848256730606	0.000004959848256730606	+1	
NITROGEN COMPOUND TRANSPORT%GOBP%GO:0071705	nitrogen compound transport	0.00000508157578473844	0.00000508157578473844	+1	
SINGLE-STRANDED DNA BINDING%GOMF%GO:0003697	single-stranded DNA binding	0.000005125727640523681	0.000005125727640523681	+1	
PHOSPHORYLATION%GOBP%GO:0016310	phosphorylation	0.00000522627671576054	0.00000522627671576054	+1	
CHROMATIN REMODELING%GOMF%GO:0006338	chromatin remodeling	0.000005383354859405694	0.000005383354859405694	+1	
ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	actin cytoskeleton organization	0.000006132175728907639	0.000006132175728907639	+1	
CATALYTIC ACTIVITY, ACTING ON RNA%GOMF%GO:0140098	catalytic activity, acting on RNA	0.000006288305264731451	0.000006288305264731451	+1	
ACYLTRANSFERASE ACTIVITY%GOMF%GO:0016746	acyltransferase activity	0.0000065976404268322286	0.0000065976404268322286	+1	
PMC4697333__F6	Cross-talks between TGFBsignaling pathway and TNFAsignaling pathway (target instance)	0.000006808088958040853	0.000006808088958040853	+1	
DNA INTEGRITY CHECKPOINT SIGNALING%GOBP%GO:0031570	DNA integrity checkpoint signaling	0.000007209459640847875	0.000007209459640847875	+1	
CARBOHYDRATE DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901135	carbohydrate derivative metabolic process	0.00000850118090687614	0.00000850118090687614	+1	
PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	protein polyubiquitination	0.00000904360215065272	0.00000904360215065272	+1	
DNA DOUBLE-STRAND BREAK REPAIR%REACTOME%R-HSA-5693532.5	DNA Double-Strand Break Repair	0.000009405992431870474	0.000009405992431870474	+1	
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817	regulation of cytokine production	0.000010229496665161155	0.000010229496665161155	+1	
REGULATION OF ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0022603	regulation of anatomical structure morphogenesis	0.000010379226846709664	0.000010379226846709664	+1	
UBIQUITIN PROTEIN LIGASE BINDING%GOMF%GO:0031625	ubiquitin protein ligase binding	0.000010540992326983636	0.000010540992326983636	+1	
REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032101	regulation of response to external stimulus	0.000010573176565372466	0.000010573176565372466	+1	
POSITIVE REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044089	positive regulation of cellular component biogenesis	0.000010962037113051596	0.000010962037113051596	+1	
TRANSLATION%GOBP%GO:0006412	translation	0.000010982127416055006	0.000010982127416055006	+1	
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.000011826616404113197	0.000011826616404113197	+1	
RAC1 GTPASE CYCLE%REACTOME DATABASE ID RELEASE 78%9013149	RAC1 GTPase cycle	0.000011833979121838664	0.000011833979121838664	+1	
REGULATION OF METABOLIC PROCESS%GOMF%GO:0019222	regulation of metabolic process	0.000012975494127002394	0.000012975494127002394	+1	
REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOMF%GO:0060255	regulation of macromolecule metabolic process	0.000012975494127002394	0.000012975494127002394	+1	
REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031347	regulation of defense response	0.000013192461892560817	0.000013192461892560817	+1	
REGULATION OF PRIMARY METABOLIC PROCESS%GOMF%GO:0080090	regulation of primary metabolic process	0.000013615642989685351	0.000013615642989685351	+1	
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOMF%GO:0010556	regulation of macromolecule biosynthetic process	0.000013983480122810205	0.000013983480122810205	+1	
REGULATION OF BIOSYNTHETIC PROCESS%GOMF%GO:0009889	regulation of biosynthetic process	0.000013983480122810205	0.000013983480122810205	+1	
REGULATION OF GENE EXPRESSION%GOMF%GO:0010468	regulation of gene expression	0.000013983480122810205	0.000013983480122810205	+1	
REGULATION OF CELLULAR METABOLIC PROCESS%GOMF%GO:0031323	regulation of cellular metabolic process	0.000013983480122810205	0.000013983480122810205	+1	
REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOMF%GO:0031326	regulation of cellular biosynthetic process	0.000013983480122810205	0.000013983480122810205	+1	
PURINE NUCLEOTIDE BINDING%GOMF%GO:0017076	purine nucleotide binding	0.000014325892401950592	0.000014325892401950592	+1	
POSITIVE REGULATION OF PROTEOLYSIS%GOBP%GO:0045862	positive regulation of proteolysis	0.000014707872035532231	0.000014707872035532231	+1	
PROTEIN PHOSPHORYLATION%GOBP%GO:0006468	protein phosphorylation	0.000014847375256019096	0.000014847375256019096	+1	
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000045	regulation of G1/S transition of mitotic cell cycle	0.000015276523104428393	0.000015276523104428393	+1	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BINDING%GOMF%GO:0035639	purine ribonucleoside triphosphate binding	0.000015906252630247654	0.000015906252630247654	+1	
FOCAL ADHESION%GOCC%GO:0005925	focal adhesion	0.000016393034327980417	0.000016393034327980417	+1	
RNA POLYMERASE II TRANSCRIPTION REGULATOR COMPLEX%GOCC%GO:0090575	RNA polymerase II transcription regulator complex	0.000019893737234510494	0.000019893737234510494	+1	
RESPONSE TO UV%GOBP%GO:0009411	response to UV	0.000019901231730871188	0.000019901231730871188	+1	
ANION BINDING%GOMF%GO:0043168	anion binding	0.000021393912329564285	0.000021393912329564285	+1	
PHOSPHATIDYLINOSITOL BIOSYNTHETIC PROCESS%GOBP%GO:0006661	phosphatidylinositol biosynthetic process	0.000021405377320142456	0.000021405377320142456	+1	
CHROMATIN ORGANIZATION%GOBP%GO:0006325	chromatin organization	0.000022120452929803775	0.000022120452929803775	+1	
REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001932	regulation of protein phosphorylation	0.00002212584804716346	0.00002212584804716346	+1	
CELL CYCLE PHASE TRANSITION%GOBP%GO:0044770	cell cycle phase transition	0.000023487877632089707	0.000023487877632089707	+1	
CHROMATIN REMODELING%GOBP%GO:0006338	chromatin remodeling	0.000023617668452667223	0.000023617668452667223	+1	
PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS%GOMF%GO:0006796	phosphate-containing compound metabolic process	0.000024638850753897767	0.000024638850753897767	+1	
PHOSPHORUS METABOLIC PROCESS%GOMF%GO:0006793	phosphorus metabolic process	0.000024638850753897767	0.000024638850753897767	+1	
PMC2642890__F2	Posttranscriptional regulation of gene networks by GREs	0.000024758987757482956	0.000024758987757482956	+1	
PURINE RIBONUCLEOTIDE BINDING%GOMF%GO:0032555	purine ribonucleotide binding	0.00002768518452334336	0.00002768518452334336	+1	
