GO.ID	Description	p.Val	FDR	Phenotype	Genes
POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0045944	positive regulation of transcription by RNA polymerase II	8.37939932511427e-12	8.37939932511427e-12	+1	590
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967	positive regulation of signal transduction	9.50177613118124e-12	9.50177613118124e-12	+1	768
REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031399	regulation of protein modification process	9.53537271695552e-12	9.53537271695552e-12	+1	520
DNA REPLICATION%GOBP%GO:0006260	DNA replication	9.5390794374496e-12	9.5390794374496e-12	+1	120
REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044087	regulation of cellular component biogenesis	1.29450723581156e-11	1.29450723581156e-11	+1	504
CYTOSKELETON%GOCC%GO:0005856	cytoskeleton	1.37928089057675e-11	1.37928089057675e-11	+1	1068
ENZYME REGULATOR ACTIVITY%GOMF%GO:0030234	enzyme regulator activity	2.09801578816815e-11	2.09801578816815e-11	+1	679
ORGANOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0090407	organophosphate biosynthetic process	2.41917787191526e-11	2.41917787191526e-11	+1	317
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	double-strand break repair	2.62364699595433e-11	2.62364699595433e-11	+1	153
POSITIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044093	positive regulation of molecular function	2.88646108118277e-11	2.88646108118277e-11	+1	551
PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOMF%GO:0004674	protein serine/threonine kinase activity	5.04514610975814e-11	5.04514610975814e-11	+1	257
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	5.92668673980869e-11	5.92668673980869e-11	+1	103
CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	cellular component assembly	6.18854851047475e-11	6.18854851047475e-11	+1	1181
MITOCHONDRIAL MATRIX%GOCC%GO:0005759	mitochondrial matrix	6.68184874909552e-11	6.68184874909552e-11	+1	303
METABOLISM%REACTOME%R-HSA-1430728.14	Metabolism	7.2548993927437e-11	7.2548993927437e-11	+1	1226
ORGANOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0019637	organophosphate metabolic process	9.10716910703661e-11	9.10716910703661e-11	+1	500
DNA REPAIR%REACTOME DATABASE ID RELEASE 78%73894	DNA Repair	1.344612902256e-10	1.344612902256e-10	+1	217
POSITIVE REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0010638	positive regulation of organelle organization	1.49454418380218e-10	1.49454418380218e-10	+1	291
PROTEIN KINASE ACTIVITY%GOMF%GO:0004672	protein kinase activity	2.03391339572731e-10	2.03391339572731e-10	+1	334
GTPASE REGULATOR ACTIVITY%GOMF%GO:0030695	GTPase regulator activity	2.5260335013306e-10	2.5260335013306e-10	+1	288
NUCLEOSIDE-TRIPHOSPHATASE REGULATOR ACTIVITY%GOMF%GO:0060589	nucleoside-triphosphatase regulator activity	2.5260335013306e-10	2.5260335013306e-10	+1	288
POSITIVE REGULATION OF SIGNALING%GOBP%GO:0023056	positive regulation of signaling	3.10135975371897e-10	3.10135975371897e-10	+1	821
CELLULAR RESPONSE TO STIMULUS%GOBP%GO:0051716	cellular response to stimulus	3.15422988159332e-10	3.15422988159332e-10	+1	2532
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	4.54524078621653e-10	4.54524078621653e-10	+1	101
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	DNA-templated DNA replication	4.54524078621653e-10	4.54524078621653e-10	+1	101
PROTEIN-CONTAINING COMPLEX ORGANIZATION%GOBP%GO:0043933	protein-containing complex organization	4.57231757040177e-10	4.57231757040177e-10	+1	709
POSITIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010647	positive regulation of cell communication	5.55735499254534e-10	5.55735499254534e-10	+1	818
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOMF%GO:0071840	cellular component organization or biogenesis	5.97489981602772e-10	5.97489981602772e-10	+1	364
NUCLEOBASE-CONTAINING SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0055086	nucleobase-containing small molecule metabolic process	6.20108226064566e-10	6.20108226064566e-10	+1	325
POSITIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051130	positive regulation of cellular component organization	6.42380240347444e-10	6.42380240347444e-10	+1	544
VEGFA VEGFR2 SIGNALING%WIKIPATHWAYS_20240910%WP3888%HOMO SAPIENS	VEGFA VEGFR2 signaling	7.38502049173424e-10	7.38502049173424e-10	+1	166
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793	regulation of developmental process	7.46494813246577e-10	7.46494813246577e-10	+1	1008
REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:0033044	regulation of chromosome organization	9.97850484426511e-10	9.97850484426511e-10	+1	176
POST-TRANSLATIONAL PROTEIN MODIFICATION%GOBP%GO:0043687	post-translational protein modification	1.33853424624668e-09	1.33853424624668e-09	+1	429
CELL DEATH%GOBP%GO:0008219	cell death	1.430783936805e-09	1.430783936805e-09	+1	313
IDENTICAL PROTEIN BINDING%GOMF%GO:0042802	identical protein binding	1.7759756647287e-09	1.7759756647287e-09	+1	1024
NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOMF%GO:0006139	nucleobase-containing compound metabolic process	1.91271244451417e-09	1.91271244451417e-09	+1	201
REGULATION OF AUTOPHAGY%GOBP%GO:0010506	regulation of autophagy	2.13589867100087e-09	2.13589867100087e-09	+1	225
PROGRAMMED CELL DEATH%GOBP%GO:0012501	programmed cell death	2.15189807280071e-09	2.15189807280071e-09	+1	309
CELLULAR COMPONENT ORGANIZATION%GOMF%GO:0016043	cellular component organization	2.64329213203403e-09	2.64329213203403e-09	+1	351
REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031329	regulation of cellular catabolic process	3.37745105297655e-09	3.37745105297655e-09	+1	269
DNA BINDING%GOMF%GO:0003677	DNA binding	4.60755161055285e-09	4.60755161055285e-09	+1	1118
APOPTOTIC PROCESS%GOBP%GO:0006915	apoptotic process	4.62078231073179e-09	4.62078231073179e-09	+1	288
NEGATIVE REGULATION OF CELL CYCLE%GOBP%GO:0045786	negative regulation of cell cycle	5.11605020797722e-09	5.11605020797722e-09	+1	214
NUCLEAR CHROMOSOME%GOCC%GO:0000228	nuclear chromosome	5.50029309091218e-09	5.50029309091218e-09	+1	147
TRANSCRIPTION REGULATOR COMPLEX%GOCC%GO:0005667	transcription regulator complex	5.71154623748693e-09	5.71154623748693e-09	+1	282
PROTEIN CATABOLIC PROCESS%GOBP%GO:0030163	protein catabolic process	5.77814526177703e-09	5.77814526177703e-09	+1	396
MRNA METABOLIC PROCESS%GOBP%GO:0016071	mRNA metabolic process	6.16990823162083e-09	6.16990823162083e-09	+1	291
TRANSCRIPTION COREGULATOR ACTIVITY%GOMF%GO:0003712	transcription coregulator activity	7.30935086929282e-09	7.30935086929282e-09	+1	297
REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001233	regulation of apoptotic signaling pathway	9.07892584862519e-09	9.07892584862519e-09	+1	188
DISEASES OF SIGNAL TRANSDUCTION BY GROWTH FACTOR RECEPTORS AND SECOND MESSENGERS%REACTOME%R-HSA-5663202.13	Diseases of signal transduction by growth factor receptors and second messengers	1.07416410401531e-08	1.07416410401531e-08	+1	297
GOLGI APPARATUS%GOCC%GO:0005794	Golgi apparatus	1.14303520105049e-08	1.14303520105049e-08	+1	793
CYTOSKELETON ORGANIZATION%GOBP%GO:0007010	cytoskeleton organization	1.25932346952138e-08	1.25932346952138e-08	+1	642
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION%GOBP%GO:0032446	protein modification by small protein conjugation	1.5611830108002e-08	1.5611830108002e-08	+1	342
NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0034655	nucleobase-containing compound catabolic process	1.65097228629845e-08	1.65097228629845e-08	+1	195
NEGATIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0000122	negative regulation of transcription by RNA polymerase II	1.73563312261078e-08	1.73563312261078e-08	+1	442
MEMBRANE TRAFFICKING%REACTOME DATABASE ID RELEASE 78%199991	Membrane Trafficking	1.87553666113252e-08	1.87553666113252e-08	+1	379
PROTEOLYSIS INVOLVED IN PROTEIN CATABOLIC PROCESS%GOBP%GO:0051603	proteolysis involved in protein catabolic process	2.27914323169504e-08	2.27914323169504e-08	+1	357
NUCLEAR ENVELOPE%GOCC%GO:0005635	nuclear envelope	2.64963260770848e-08	2.64963260770848e-08	+1	253
TRANSPORT%GOBP%GO:0006810	transport	2.69194504526188e-08	2.69194504526188e-08	+1	1535
IMMUNE SYSTEM%REACTOME%R-HSA-168256.9	Immune System	2.83954172428284e-08	2.83954172428284e-08	+1	1151
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL%GOBP%GO:0070647	protein modification by small protein conjugation or removal	3.14953165211276e-08	3.14953165211276e-08	+1	398
HISTONE BINDING%GOMF%GO:0042393	histone binding	3.87904629019783e-08	3.87904629019783e-08	+1	162
NUCLEOSIDE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0006753	nucleoside phosphate metabolic process	4.81570111314312e-08	4.81570111314312e-08	+1	297
MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.8	Mitotic Prometaphase	4.83075374792117e-08	4.83075374792117e-08	+1	137
DNA RECOMBINATION%GOBP%GO:0006310	DNA recombination	5.07892036836101e-08	5.07892036836101e-08	+1	140
NEGATIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0010948	negative regulation of cell cycle process	5.50829567394649e-08	5.50829567394649e-08	+1	167
CHROMATIN ORGANIZATION%GOMF%GO:0006325	chromatin organization	5.66906106858972e-08	5.66906106858972e-08	+1	161
BOUNDING MEMBRANE OF ORGANELLE%GOCC%GO:0098588	bounding membrane of organelle	6.33215402380919e-08	6.33215402380919e-08	+1	973
NEGATIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901988	negative regulation of cell cycle phase transition	6.34403276887354e-08	6.34403276887354e-08	+1	141
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	cell cycle checkpoint signaling	6.63048352985021e-08	6.63048352985021e-08	+1	112
REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0051174	regulation of phosphorus metabolic process	6.99521748308224e-08	6.99521748308224e-08	+1	459
REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019220	regulation of phosphate metabolic process	6.99521748308224e-08	6.99521748308224e-08	+1	459
CELL CYCLE CHECKPOINTS%REACTOME%R-HSA-69620.4	Cell Cycle Checkpoints	7.11265846766629e-08	7.11265846766629e-08	+1	188
NUCLEAR SPECK%GOCC%GO:0016607	nuclear speck	7.31879848667688e-08	7.31879848667688e-08	+1	220
ORGANELLE LOCALIZATION%GOBP%GO:0051640	organelle localization	7.71038756035051e-08	7.71038756035051e-08	+1	285
TRANSCRIPTIONAL REGULATION BY TP53%REACTOME%R-HSA-3700989.8	Transcriptional Regulation by TP53	8.0520180496739e-08	8.0520180496739e-08	+1	236
MACROMOLECULE METABOLIC PROCESS%GOMF%GO:0043170	macromolecule metabolic process	8.18183022545466e-08	8.18183022545466e-08	+1	252
RECOMBINATIONAL REPAIR%GOBP%GO:0000725	recombinational repair	9.2140082304462e-08	9.2140082304462e-08	+1	94
REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0043254	regulation of protein-containing complex assembly	9.72886092607768e-08	9.72886092607768e-08	+1	230
ATP-DEPENDENT ACTIVITY, ACTING ON DNA%GOMF%GO:0008094	ATP-dependent activity, acting on DNA	9.93815229299372e-08	9.93815229299372e-08	+1	77
REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000779	regulation of double-strand break repair	1.01131636670539e-07	1.01131636670539e-07	+1	106
POST-TRANSLATIONAL PROTEIN MODIFICATION%REACTOME DATABASE ID RELEASE 78%597592	Post-translational protein modification	1.45313969401048e-07	1.45313969401048e-07	+1	818
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0000724	double-strand break repair via homologous recombination	1.64711409972088e-07	1.64711409972088e-07	+1	91
ESTABLISHMENT OF PROTEIN LOCALIZATION%GOBP%GO:0045184	establishment of protein localization	1.90840345760296e-07	1.90840345760296e-07	+1	476
POSITIVE REGULATION OF DNA REPAIR%GOBP%GO:0045739	positive regulation of DNA repair	2.08787350614602e-07	2.08787350614602e-07	+1	101
SPINDLE%GOCC%GO:0005819	spindle	2.1615904679361e-07	2.1615904679361e-07	+1	218
NEGATIVE REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0010639	negative regulation of organelle organization	2.18034227054173e-07	2.18034227054173e-07	+1	189
REGULATION OF PROTEOLYSIS%GOBP%GO:0030162	regulation of proteolysis	2.19000340367654e-07	2.19000340367654e-07	+1	298
PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0065003	protein-containing complex assembly	2.27312891441919e-07	2.27312891441919e-07	+1	616
NEGATIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045930	negative regulation of mitotic cell cycle	2.4463032898455e-07	2.4463032898455e-07	+1	133
TRANSCRIPTION FACTOR BINDING%GOMF%GO:0008134	transcription factor binding	2.52992796092781e-07	2.52992796092781e-07	+1	319
CHROMOSOME SEGREGATION%GOBP%GO:0007059	chromosome segregation	2.6217987402938e-07	2.6217987402938e-07	+1	180
POSITIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043085	positive regulation of catalytic activity	2.69902893871853e-07	2.69902893871853e-07	+1	366
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	sister chromatid segregation	2.87333289231769e-07	2.87333289231769e-07	+1	102
SPINDLE ORGANIZATION%GOBP%GO:0007051	spindle organization	2.91546120352442e-07	2.91546120352442e-07	+1	107
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	ribonucleoprotein complex biogenesis	3.95964813392239e-07	3.95964813392239e-07	+1	252
ENDOSOME%GOCC%GO:0005768	endosome	4.03878931175691e-07	4.03878931175691e-07	+1	502
RIBONUCLEOPROTEIN COMPLEX%GOCC%GO:1990904	ribonucleoprotein complex	5.22079595828547e-07	5.22079595828547e-07	+1	367
REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831	regulation of response to biotic stimulus	5.34170098113415e-07	5.34170098113415e-07	+1	296
REGULATION OF PHOSPHORYLATION%GOBP%GO:0042325	regulation of phosphorylation	5.50959948233501e-07	5.50959948233501e-07	+1	402
SIGNALING BY INTERLEUKINS%REACTOME%R-HSA-449147.13	Signaling by Interleukins	5.62890426146035e-07	5.62890426146035e-07	+1	292
SIGNAL TRANSDUCTION IN RESPONSE TO DNA DAMAGE%GOBP%GO:0042770	signal transduction in response to DNA damage	5.94952724469531e-07	5.94952724469531e-07	+1	97
MODIFICATION-DEPENDENT MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0043632	modification-dependent macromolecule catabolic process	6.99466768496711e-07	6.99466768496711e-07	+1	295
METHYLATED HISTONE BINDING%GOMF%GO:0035064	methylated histone binding	7.44970833969707e-07	7.44970833969707e-07	+1	61
CHROMATIN MODIFYING ENZYMES%REACTOME%R-HSA-3247509.6	Chromatin modifying enzymes	7.98625852947226e-07	7.98625852947226e-07	+1	164
CHROMATIN ORGANIZATION%REACTOME%R-HSA-4839726.4	Chromatin organization	7.98625852947226e-07	7.98625852947226e-07	+1	164
NEGATIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051129	negative regulation of cellular component organization	7.98839908307173e-07	7.98839908307173e-07	+1	337
CYTOPLASMIC VESICLE%GOCC%GO:0031410	cytoplasmic vesicle	8.74512060429414e-07	8.74512060429414e-07	+1	1112
INTRACELLULAR VESICLE%GOCC%GO:0097708	intracellular vesicle	8.93117627022154e-07	8.93117627022154e-07	+1	1114
PROTEASOMAL PROTEIN CATABOLIC PROCESS%GOBP%GO:0010498	proteasomal protein catabolic process	9.08774222864143e-07	9.08774222864143e-07	+1	240
CELLULAR METABOLIC PROCESS%GOMF%GO:0044237	cellular metabolic process	9.14759773012563e-07	9.14759773012563e-07	+1	294
PMC8036803__F2	Msi1 impact on cell cycle and division	9.15248452884233e-07	9.15248452884233e-07	+1	54
UBIQUITIN-LIKE PROTEIN LIGASE BINDING%GOMF%GO:0044389	ubiquitin-like protein ligase binding	9.27094851443808e-07	9.27094851443808e-07	+1	193
PROTEIN-CONTAINING COMPLEX BINDING%GOMF%GO:0044877	protein-containing complex binding	9.28261220791409e-07	9.28261220791409e-07	+1	603
NUCLEIC ACID CATABOLIC PROCESS%GOBP%GO:0141188	nucleic acid catabolic process	9.43487022712706e-07	9.43487022712706e-07	+1	125
REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051239	regulation of multicellular organismal process	1.02575672450809e-06	1.02575672450809e-06	+1	1240
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	mitotic nuclear division	1.03424623240389e-06	1.03424623240389e-06	+1	109
RESPONSE TO PEPTIDE%GOBP%GO:1901652	response to peptide	1.05328920663316e-06	1.05328920663316e-06	+1	326
RESPONSE TO CYTOKINE%GOBP%GO:0034097	response to cytokine	1.05328920663316e-06	1.05328920663316e-06	+1	326
INTRACELLULAR SIGNALING CASSETTE%GOBP%GO:0141124	intracellular signaling cassette	1.05454084754727e-06	1.05454084754727e-06	+1	358
MODIFICATION-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0019941	modification-dependent protein catabolic process	1.11403340887968e-06	1.11403340887968e-06	+1	292
CHROMOSOME, CENTROMERIC REGION%GOCC%GO:0000775	chromosome, centromeric region	1.22407593921593e-06	1.22407593921593e-06	+1	135
POSITIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010628	positive regulation of gene expression	1.22645208450954e-06	1.22645208450954e-06	+1	550
PROTEIN UBIQUITINATION%GOBP%GO:0016567	protein ubiquitination	1.28063343386615e-06	1.28063343386615e-06	+1	294
METHYLATION-DEPENDENT PROTEIN BINDING%GOMF%GO:0140034	methylation-dependent protein binding	1.37134978651823e-06	1.37134978651823e-06	+1	62
SITE OF DNA DAMAGE%GOCC%GO:0090734	site of DNA damage	1.47341958255741e-06	1.47341958255741e-06	+1	95
UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0006511	ubiquitin-dependent protein catabolic process	1.53975134574468e-06	1.53975134574468e-06	+1	287
POSITIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009896	positive regulation of catabolic process	1.55859595301444e-06	1.55859595301444e-06	+1	292
PMC7057977__F5	COAD “cyan” module APOL6 subnetwork	1.57637716728409e-06	1.57637716728409e-06	+1	34
DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS	Direct p53 effectors	1.68027353595478e-06	1.68027353595478e-06	+1	103
REGULATION OF DNA RECOMBINATION%GOBP%GO:0000018	regulation of DNA recombination	1.69348276544861e-06	1.69348276544861e-06	+1	93
CHROMATIN BINDING%GOMF%GO:0003682	chromatin binding	1.71669542111507e-06	1.71669542111507e-06	+1	279
MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0000070	mitotic sister chromatid segregation	1.72290211315485e-06	1.72290211315485e-06	+1	98
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901991	negative regulation of mitotic cell cycle phase transition	1.86795519696638e-06	1.86795519696638e-06	+1	106
REPLICATION FORK%GOCC%GO:0005657	replication fork	2.1030590481576e-06	2.1030590481576e-06	+1	57
ENDOMEMBRANE SYSTEM ORGANIZATION%GOBP%GO:0010256	endomembrane system organization	2.18338266090481e-06	2.18338266090481e-06	+1	302
MITOTIC CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0007093	mitotic cell cycle checkpoint signaling	2.21331288566949e-06	2.21331288566949e-06	+1	89
VACUOLE%GOCC%GO:0005773	vacuole	2.23733336543183e-06	2.23733336543183e-06	+1	434
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.7	Antiviral mechanism by IFN-stimulated genes	2.29898857216823e-06	2.29898857216823e-06	+1	99
M PHASE%REACTOME DATABASE ID RELEASE 78%68886	M Phase	2.44447333687011e-06	2.44447333687011e-06	+1	247
REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045088	regulation of innate immune response	2.45754793570705e-06	2.45754793570705e-06	+1	256
REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032479	regulation of type I interferon production	2.51525738220206e-06	2.51525738220206e-06	+1	87
INFECTIOUS DISEASE%REACTOME DATABASE ID RELEASE 78%5663205	Infectious disease	2.53563953845446e-06	2.53563953845446e-06	+1	592
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	2.67990108798778e-06	2.67990108798778e-06	+1	97
DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006351	DNA-templated transcription	2.74905087813262e-06	2.74905087813262e-06	+1	244
RNA CATABOLIC PROCESS%GOBP%GO:0006401	RNA catabolic process	2.77870057436444e-06	2.77870057436444e-06	+1	113
NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:1901293	nucleoside phosphate biosynthetic process	2.87031902366214e-06	2.87031902366214e-06	+1	166
HISTONE MODIFYING ACTIVITY%GOMF%GO:0140993	histone modifying activity	3.19041458224984e-06	3.19041458224984e-06	+1	128
NUCLEIC ACID METABOLIC PROCESS%GOMF%GO:0090304	nucleic acid metabolic process	3.62081225447714e-06	3.62081225447714e-06	+1	154
BIOSYNTHETIC PROCESS%GOMF%GO:0009058	biosynthetic process	3.81665100417008e-06	3.81665100417008e-06	+1	248
REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0010569	regulation of double-strand break repair via homologous recombination	4.01877935802748e-06	4.01877935802748e-06	+1	66
PMC4697333__F5	Reconstruction of TNFAsignaling pathway (target instance)	4.15812493268164e-06	4.15812493268164e-06	+1	96
UBIQUITIN LIGASE COMPLEX%GOCC%GO:0000151	ubiquitin ligase complex	4.31664742716673e-06	4.31664742716673e-06	+1	195
CHROMOSOME, TELOMERIC REGION%GOCC%GO:0000781	chromosome, telomeric region	4.36158248507764e-06	4.36158248507764e-06	+1	104
PROTEIN DOMAIN SPECIFIC BINDING%GOMF%GO:0019904	protein domain specific binding	4.71983487368545e-06	4.71983487368545e-06	+1	279
LYTIC VACUOLE%GOCC%GO:0000323	lytic vacuole	4.72096685690168e-06	4.72096685690168e-06	+1	395
LYSOSOME%GOCC%GO:0005764	lysosome	4.72096685690168e-06	4.72096685690168e-06	+1	395
PROTEIN TRANSPORT%GOBP%GO:0015031	protein transport	4.95984825673061e-06	4.95984825673061e-06	+1	360
NITROGEN COMPOUND TRANSPORT%GOBP%GO:0071705	nitrogen compound transport	5.08157578473844e-06	5.08157578473844e-06	+1	545
SINGLE-STRANDED DNA BINDING%GOMF%GO:0003697	single-stranded DNA binding	5.12572764052368e-06	5.12572764052368e-06	+1	82
PHOSPHORYLATION%GOBP%GO:0016310	phosphorylation	5.22627671576054e-06	5.22627671576054e-06	+1	252
CHROMATIN REMODELING%GOMF%GO:0006338	chromatin remodeling	5.38335485940569e-06	5.38335485940569e-06	+1	137
ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	actin cytoskeleton organization	6.13217572890764e-06	6.13217572890764e-06	+1	293
CATALYTIC ACTIVITY, ACTING ON RNA%GOMF%GO:0140098	catalytic activity, acting on RNA	6.28830526473145e-06	6.28830526473145e-06	+1	219
ACYLTRANSFERASE ACTIVITY%GOMF%GO:0016746	acyltransferase activity	6.59764042683223e-06	6.59764042683223e-06	+1	403
PMC4697333__F6	Cross-talks between TGFBsignaling pathway and TNFAsignaling pathway (target instance)	6.80808895804085e-06	6.80808895804085e-06	+1	129
DNA INTEGRITY CHECKPOINT SIGNALING%GOBP%GO:0031570	DNA integrity checkpoint signaling	7.20945964084788e-06	7.20945964084788e-06	+1	83
CARBOHYDRATE DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901135	carbohydrate derivative metabolic process	8.50118090687614e-06	8.50118090687614e-06	+1	436
PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	protein polyubiquitination	9.04360215065272e-06	9.04360215065272e-06	+1	164
DNA DOUBLE-STRAND BREAK REPAIR%REACTOME%R-HSA-5693532.5	DNA Double-Strand Break Repair	9.40599243187047e-06	9.40599243187047e-06	+1	110
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817	regulation of cytokine production	1.02294966651612e-05	1.02294966651612e-05	+1	382
REGULATION OF ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0022603	regulation of anatomical structure morphogenesis	1.03792268467097e-05	1.03792268467097e-05	+1	370
UBIQUITIN PROTEIN LIGASE BINDING%GOMF%GO:0031625	ubiquitin protein ligase binding	1.05409923269836e-05	1.05409923269836e-05	+1	180
REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032101	regulation of response to external stimulus	1.05731765653725e-05	1.05731765653725e-05	+1	516
POSITIVE REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044089	positive regulation of cellular component biogenesis	1.09620371130516e-05	1.09620371130516e-05	+1	267
TRANSLATION%GOBP%GO:0006412	translation	1.0982127416055e-05	1.0982127416055e-05	+1	221
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	1.18266164041132e-05	1.18266164041132e-05	+1	87
RAC1 GTPASE CYCLE%REACTOME DATABASE ID RELEASE 78%9013149	RAC1 GTPase cycle	1.18339791218387e-05	1.18339791218387e-05	+1	129
REGULATION OF METABOLIC PROCESS%GOMF%GO:0019222	regulation of metabolic process	1.29754941270024e-05	1.29754941270024e-05	+1	1095
REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOMF%GO:0060255	regulation of macromolecule metabolic process	1.29754941270024e-05	1.29754941270024e-05	+1	1095
REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031347	regulation of defense response	1.31924618925608e-05	1.31924618925608e-05	+1	401
REGULATION OF PRIMARY METABOLIC PROCESS%GOMF%GO:0080090	regulation of primary metabolic process	1.36156429896854e-05	1.36156429896854e-05	+1	1084
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOMF%GO:0010556	regulation of macromolecule biosynthetic process	1.39834801228102e-05	1.39834801228102e-05	+1	1087
REGULATION OF BIOSYNTHETIC PROCESS%GOMF%GO:0009889	regulation of biosynthetic process	1.39834801228102e-05	1.39834801228102e-05	+1	1087
REGULATION OF GENE EXPRESSION%GOMF%GO:0010468	regulation of gene expression	1.39834801228102e-05	1.39834801228102e-05	+1	1087
REGULATION OF CELLULAR METABOLIC PROCESS%GOMF%GO:0031323	regulation of cellular metabolic process	1.39834801228102e-05	1.39834801228102e-05	+1	1087
