GO.ID	Description	p.Val	FDR	Phenotype	Genes
CELL CYCLE CHECKPOINTS%REACTOME%R-HSA-69620.4	Cell Cycle Checkpoints	1.7030826884444485e-7	1.7030826884444485e-7	+1	
REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000779	regulation of double-strand break repair	1.7407004404008893e-7	1.7407004404008893e-7	+1	
TRANSCRIPTIONAL REGULATION BY TP53%REACTOME%R-HSA-3700989.8	Transcriptional Regulation by TP53	2.24997456774838e-7	2.24997456774838e-7	+1	
ORGANELLE LOCALIZATION%GOBP%GO:0051640	organelle localization	2.491730393305311e-7	2.491730393305311e-7	+1	
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0000724	double-strand break repair via homologous recombination	2.6247904052759423e-7	2.6247904052759423e-7	+1	
REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0043254	regulation of protein-containing complex assembly	2.6570926426021926e-7	2.6570926426021926e-7	+1	
POSITIVE REGULATION OF DNA REPAIR%GOBP%GO:0045739	positive regulation of DNA repair	3.480486771225056e-7	3.480486771225056e-7	+1	
REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0051174	regulation of phosphorus metabolic process	3.495664528662087e-7	3.495664528662087e-7	+1	
REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019220	regulation of phosphate metabolic process	3.495664528662087e-7	3.495664528662087e-7	+1	
NEGATIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045930	negative regulation of mitotic cell cycle	4.6715069579616944e-7	4.6715069579616944e-7	+1	
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	sister chromatid segregation	4.793147687396474e-7	4.793147687396474e-7	+1	
SPINDLE ORGANIZATION%GOBP%GO:0007051	spindle organization	4.973972417081815e-7	4.973972417081815e-7	+1	
IMMUNE SYSTEM%REACTOME%R-HSA-168256.9	Immune System	5.069857787858672e-7	5.069857787858672e-7	+1	
NEGATIVE REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0010639	negative regulation of organelle organization	5.12551092666615e-7	5.12551092666615e-7	+1	
CHROMOSOME SEGREGATION%GOBP%GO:0007059	chromosome segregation	5.955147078388563e-7	5.955147078388563e-7	+1	
REGULATION OF PROTEOLYSIS%GOBP%GO:0030162	regulation of proteolysis	7.136174258887484e-7	7.136174258887484e-7	+1	
TRANSPORT%GOBP%GO:0006810	transport	8.338600178294661e-7	8.338600178294661e-7	+1	
ESTABLISHMENT OF PROTEIN LOCALIZATION%GOBP%GO:0045184	establishment of protein localization	9.55181101418926e-7	9.55181101418926e-7	+1	
SIGNAL TRANSDUCTION IN RESPONSE TO DNA DAMAGE%GOBP%GO:0042770	signal transduction in response to DNA damage	9.611897662096832e-7	9.611897662096832e-7	+1	
POSITIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043085	positive regulation of catalytic activity	0.000001039590008560416	0.000001039590008560416	+1	
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	ribonucleoprotein complex biogenesis	0.0000011177724064010193	0.0000011177724064010193	+1	
PMC8036803__F2	Msi1 impact on cell cycle and division	0.000001173205686634241	0.000001173205686634241	+1	
POST-TRANSLATIONAL PROTEIN MODIFICATION%REACTOME DATABASE ID RELEASE 78%597592	Post-translational protein modification	0.0000014001648797597804	0.0000014001648797597804	+1	
PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0065003	protein-containing complex assembly	0.0000014974604379991544	0.0000014974604379991544	+1	
CHROMATIN MODIFYING ENZYMES%REACTOME%R-HSA-3247509.6	Chromatin modifying enzymes	0.0000016795746037463566	0.0000016795746037463566	+1	
CHROMATIN ORGANIZATION%REACTOME%R-HSA-4839726.4	Chromatin organization	0.0000016795746037463566	0.0000016795746037463566	+1	
REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831	regulation of response to biotic stimulus	0.000001689439512000043	0.000001689439512000043	+1	
NUCLEIC ACID CATABOLIC PROCESS%GOBP%GO:0141188	nucleic acid catabolic process	0.0000017088062543065962	0.0000017088062543065962	+1	
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	mitotic nuclear division	0.0000017501655229791051	0.0000017501655229791051	+1	
PMC7057977__F5	COAD “cyan” module APOL6 subnetwork	0.0000017563748849265081	0.0000017563748849265081	+1	
SIGNALING BY INTERLEUKINS%REACTOME%R-HSA-449147.13	Signaling by Interleukins	0.0000017589217184844798	0.0000017589217184844798	+1	
MODIFICATION-DEPENDENT MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0043632	modification-dependent macromolecule catabolic process	0.0000021898718875843665	0.0000021898718875843665	+1	
REGULATION OF PHOSPHORYLATION%GOBP%GO:0042325	regulation of phosphorylation	0.000002256212307963435	0.000002256212307963435	+1	
PROTEASOMAL PROTEIN CATABOLIC PROCESS%GOBP%GO:0010498	proteasomal protein catabolic process	0.0000024275384217660316	0.0000024275384217660316	+1	
REGULATION OF DNA RECOMBINATION%GOBP%GO:0000018	regulation of DNA recombination	0.0000026515172374753914	0.0000026515172374753914	+1	
DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS	Direct p53 effectors	0.0000027519906229934123	0.0000027519906229934123	+1	
MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0000070	mitotic sister chromatid segregation	0.0000027590364731354425	0.0000027590364731354425	+1	
NEGATIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051129	negative regulation of cellular component organization	0.0000027721719360120268	0.0000027721719360120268	+1	
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901991	negative regulation of mitotic cell cycle phase transition	0.0000030950202577155854	0.0000030950202577155854	+1	
MITOTIC CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0007093	mitotic cell cycle checkpoint signaling	0.00000339053091726174	0.00000339053091726174	+1	
MODIFICATION-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0019941	modification-dependent protein catabolic process	0.000003415472341205574	0.000003415472341205574	+1	
RESPONSE TO CYTOKINE%GOBP%GO:0034097	response to cytokine	0.0000035273667179921913	0.0000035273667179921913	+1	
RESPONSE TO PEPTIDE%GOBP%GO:1901652	response to peptide	0.0000035273667179921913	0.0000035273667179921913	+1	
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.7	Antiviral mechanism by IFN-stimulated genes	0.00000368414284015399	0.00000368414284015399	+1	
REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032479	regulation of type I interferon production	0.000003811179906139276	0.000003811179906139276	+1	
INTRACELLULAR SIGNALING CASSETTE%GOBP%GO:0141124	intracellular signaling cassette	0.000003816478276869984	0.000003816478276869984	+1	
PROTEIN UBIQUITINATION%GOBP%GO:0016567	protein ubiquitination	0.000003931242207171262	0.000003931242207171262	+1	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.000004247975358536844	0.000004247975358536844	+1	
UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0006511	ubiquitin-dependent protein catabolic process	0.000004616918823312709	0.000004616918823312709	+1	
RNA CATABOLIC PROCESS%GOBP%GO:0006401	RNA catabolic process	0.000004715020038729544	0.000004715020038729544	+1	
POSITIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009896	positive regulation of catabolic process	0.000004733157391445759	0.000004733157391445759	+1	
REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0010569	regulation of double-strand break repair via homologous recombination	0.000005452583362360333	0.000005452583362360333	+1	
NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:1901293	nucleoside phosphate biosynthetic process	0.000005930431481881908	0.000005930431481881908	+1	
M PHASE%REACTOME DATABASE ID RELEASE 78%68886	M Phase	0.0000064967783796282035	0.0000064967783796282035	+1	
PMC4697333__F5	Reconstruction of TNFAsignaling pathway (target instance)	0.000006524205199813656	0.000006524205199813656	+1	
POSITIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010628	positive regulation of gene expression	0.000006632232181624098	0.000006632232181624098	+1	
REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045088	regulation of innate immune response	0.0000066952846224154955	0.0000066952846224154955	+1	
ENDOMEMBRANE SYSTEM ORGANIZATION%GOBP%GO:0010256	endomembrane system organization	0.00000673665491978012	0.00000673665491978012	+1	
DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006351	DNA-templated transcription	0.000007223252426830101	0.000007223252426830101	+1	
DNA INTEGRITY CHECKPOINT SIGNALING%GOBP%GO:0031570	DNA integrity checkpoint signaling	0.000010586468814586795	0.000010586468814586795	+1	
PMC4697333__F6	Cross-talks between TGFBsignaling pathway and TNFAsignaling pathway (target instance)	0.000012130685003357347	0.000012130685003357347	+1	
PHOSPHORYLATION%GOBP%GO:0016310	phosphorylation	0.000013802396722393917	0.000013802396722393917	+1	
INFECTIOUS DISEASE%REACTOME DATABASE ID RELEASE 78%5663205	Infectious disease	0.000014371983989601658	0.000014371983989601658	+1	
DNA DOUBLE-STRAND BREAK REPAIR%REACTOME%R-HSA-5693532.5	DNA Double-Strand Break Repair	0.000015479919517410106	0.000015479919517410106	+1	
REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051239	regulation of multicellular organismal process	0.000016603876970602603	0.000016603876970602603	+1	
PROTEIN TRANSPORT%GOBP%GO:0015031	protein transport	0.000017136569337169576	0.000017136569337169576	+1	
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.00001758274120075229	0.00001758274120075229	+1	
ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	actin cytoskeleton organization	0.000017937726476695446	0.000017937726476695446	+1	
PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	protein polyubiquitination	0.00001813597489292112	0.00001813597489292112	+1	
RAC1 GTPASE CYCLE%REACTOME DATABASE ID RELEASE 78%9013149	RAC1 GTPase cycle	0.00002088639385787036	0.00002088639385787036	+1	
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000045	regulation of G1/S transition of mitotic cell cycle	0.000024053441244619593	0.000024053441244619593	+1	
NITROGEN COMPOUND TRANSPORT%GOBP%GO:0071705	nitrogen compound transport	0.000025612181273581477	0.000025612181273581477	+1	
TRANSLATION%GOBP%GO:0006412	translation	0.000026102137532029217	0.000026102137532029217	+1	
PMC2642890__F2	Posttranscriptional regulation of gene networks by GREs	0.000026466049866125237	0.000026466049866125237	+1	
POSITIVE REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044089	positive regulation of cellular component biogenesis	0.00002950735278832403	0.00002950735278832403	+1	
RESPONSE TO UV%GOBP%GO:0009411	response to UV	0.000030305579928793574	0.000030305579928793574	+1	
POSITIVE REGULATION OF PROTEOLYSIS%GOBP%GO:0045862	positive regulation of proteolysis	0.00003101918262328992	0.00003101918262328992	+1	
PHOSPHATIDYLINOSITOL BIOSYNTHETIC PROCESS%GOBP%GO:0006661	phosphatidylinositol biosynthetic process	0.00003115768136384278	0.00003115768136384278	+1	
CARBOHYDRATE DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901135	carbohydrate derivative metabolic process	0.00003392482783283863	0.00003392482783283863	+1	
CELL CYCLE PHASE TRANSITION%GOBP%GO:0044770	cell cycle phase transition	0.000035379136488536376	0.000035379136488536376	+1	
REGULATION OF ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0022603	regulation of anatomical structure morphogenesis	0.000035747824705937996	0.000035747824705937996	+1	
PROTEIN PHOSPHORYLATION%GOBP%GO:0006468	protein phosphorylation	0.00003580888287879207	0.00003580888287879207	+1	
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817	regulation of cytokine production	0.000036186742664223103	0.000036186742664223103	+1	
PMC2731164__F7	Embryonic Stem Cell Differentiation	0.00004656684757847784	0.00004656684757847784	+1	
REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031347	regulation of defense response	0.000048148551881676006	0.000048148551881676006	+1	
REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032101	regulation of response to external stimulus	0.00004889687276871883	0.00004889687276871883	+1	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	defense response to virus	0.00005791231257521233	0.00005791231257521233	+1	
POSITIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045931	positive regulation of mitotic cell cycle	0.000058454331457822675	0.000058454331457822675	+1	
INTERFERON SIGNALING%REACTOME%R-HSA-913531.5	Interferon Signaling	0.00006321108869709115	0.00006321108869709115	+1	
REGULATION OF TRANSLATION%GOBP%GO:0006417	regulation of translation	0.00006365179944581618	0.00006365179944581618	+1	
INTEGRIN-LINKED KINASE SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRIN-LINKED KINASE SIGNALING	Integrin-linked kinase signaling	0.00006389775546363635	0.00006389775546363635	+1	
CHROMATIN REMODELING%GOBP%GO:0006338	chromatin remodeling	0.00006406019651847624	0.00006406019651847624	+1	
CHROMATIN ORGANIZATION%GOBP%GO:0006325	chromatin organization	0.00006478896969798301	0.00006478896969798301	+1	
PDGF SIGNALING PATHWAY%PANTHER PATHWAY%P00047	PDGF signaling pathway	0.00006912166502165556	0.00006912166502165556	+1	
REGULATION OF CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:0043122	regulation of canonical NF-kappaB signal transduction	0.00007313831604009125	0.00007313831604009125	+1	
REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001932	regulation of protein phosphorylation	0.00007400864914539713	0.00007400864914539713	+1	
TRIF (TICAM1)-MEDIATED TLR4 SIGNALING%REACTOME DATABASE ID RELEASE 78%937061	TRIF (TICAM1)-mediated TLR4 signaling	0.00007422769813792635	0.00007422769813792635	+1	
MYD88-INDEPENDENT TLR4 CASCADE%REACTOME DATABASE ID RELEASE 78%166166	MyD88-independent TLR4 cascade	0.00007422769813792635	0.00007422769813792635	+1	
DEATH RECEPTOR SIGNALING%REACTOME%R-HSA-73887.7	Death Receptor Signaling	0.00007470210016077615	0.00007470210016077615	+1	
HOMOLOGY DIRECTED REPAIR%REACTOME DATABASE ID RELEASE 78%5693538	Homology Directed Repair	0.0000810744363184213	0.0000810744363184213	+1	
NEGATIVE REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043069	negative regulation of programmed cell death	0.00010320138968790306	0.00010320138968790306	+1	
TNFALPHA%IOB%TNFALPHA	TNFalpha	0.00010396088365587288	0.00010396088365587288	+1	
PMC5336551__F2	Chronic lymphocytic leukaemia	0.00010619252346656907	0.00010619252346656907	+1	
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR) OR SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5693567.4	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	0.00011094058359027453	0.00011094058359027453	+1	
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	0.00011094058359027453	0.00011094058359027453	+1	
POSITIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901992	positive regulation of mitotic cell cycle phase transition	0.00011594414142984788	0.00011594414142984788	+1	
RHO GTPASES ACTIVATE FORMINS%REACTOME DATABASE ID RELEASE 78%5663220	RHO GTPases Activate Formins	0.00012221837530143297	0.00012221837530143297	+1	
MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:0044772	mitotic cell cycle phase transition	0.00012938879244987886	0.00012938879244987886	+1	
RHOA GTPASE CYCLE%REACTOME%R-HSA-8980692.2	RHOA GTPase cycle	0.0001303400689039846	0.0001303400689039846	+1	
TOLL LIKE RECEPTOR 3 (TLR3) CASCADE%REACTOME%R-HSA-168164.6	Toll Like Receptor 3 (TLR3) Cascade	0.00013166510885153046	0.00013166510885153046	+1	
POSITIVE REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031401	positive regulation of protein modification process	0.00014602626662194108	0.00014602626662194108	+1	
INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0006886	intracellular protein transport	0.0001479692023110223	0.0001479692023110223	+1	
REGULATION OF CYTOSKELETON ORGANIZATION%GOBP%GO:0051493	regulation of cytoskeleton organization	0.0001486414342125631	0.0001486414342125631	+1	
NEGATIVE REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0043066	negative regulation of apoptotic process	0.00015102207202215121	0.00015102207202215121	+1	
ESTABLISHMENT OF ORGANELLE LOCALIZATION%GOBP%GO:0051656	establishment of organelle localization	0.00015725487551708744	0.00015725487551708744	+1	
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902806	regulation of cell cycle G1/S phase transition	0.00015792182138794022	0.00015792182138794022	+1	
RESPONSE TO ABIOTIC STIMULUS%GOBP%GO:0009628	response to abiotic stimulus	0.00016239703967252885	0.00016239703967252885	+1	
POSITIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000781	positive regulation of double-strand break repair	0.00016286676008763675	0.00016286676008763675	+1	
ORGANELLE FISSION%GOBP%GO:0048285	organelle fission	0.00016707372315365223	0.00016707372315365223	+1	
PMC8218506__F4	Cornuside I promoted osteogenic differentiation of bone mesenchymal stem cells through PI3K/Akt signaling pathway	0.00016744003824248582	0.00016744003824248582	+1	
DNA DAMAGE CHECKPOINT SIGNALING%GOBP%GO:0000077	DNA damage checkpoint signaling	0.00017374288421859678	0.00017374288421859678	+1	
RIBOSOME BIOGENESIS%GOBP%GO:0042254	ribosome biogenesis	0.00017692470940531977	0.00017692470940531977	+1	
PMC7709568__F5	Pathway enrichment analysis of (A) significantly higher expressed genes and (B) significantly lower expressed genes in T47D cells after glucose deprivation	0.00018603790459511673	0.00018603790459511673	+1	
REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051338	regulation of transferase activity	0.00019581644366501786	0.00019581644366501786	+1	
POSITIVE REGULATION OF WNT SIGNALING PATHWAY%GOBP%GO:0030177	positive regulation of Wnt signaling pathway	0.00019653548199932515	0.00019653548199932515	+1	
RESPONSE TO VIRUS%GOBP%GO:0009615	response to virus	0.00019780203645716234	0.00019780203645716234	+1	
PMC7375892__F5	Affected Local Networks by RB1 and TP53 Inactivation Events	0.00019887493406728232	0.00019887493406728232	+1	
CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:0044839	cell cycle G2/M phase transition	0.00020871529131511783	0.00020871529131511783	+1	
POSITIVE REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0043065	positive regulation of apoptotic process	0.00021987154570877825	0.00021987154570877825	+1	
DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 78%69190	DNA strand elongation	0.0002216774833168477	0.0002216774833168477	+1	
REGULATION OF MRNA METABOLIC PROCESS%GOBP%GO:1903311	regulation of mRNA metabolic process	0.0002240115142004739	0.0002240115142004739	+1	
REGULATION OF TP53 ACTIVITY%REACTOME DATABASE ID RELEASE 78%5633007	Regulation of TP53 Activity	0.0002266721357698305	0.0002266721357698305	+1	
ORGANELLE ASSEMBLY%GOBP%GO:0070925	organelle assembly	0.00024664329667418864	0.00024664329667418864	+1	
MEASLES VIRUS INFECTION%WIKIPATHWAYS_20240910%WP4630%HOMO SAPIENS	Measles virus infection	0.00024832665162186285	0.00024832665162186285	+1	
POSITIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902533	positive regulation of intracellular signal transduction	0.00025307658209347273	0.00025307658209347273	+1	
POSITIVE REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043068	positive regulation of programmed cell death	0.000287615005312535	0.000287615005312535	+1	
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0010389	regulation of G2/M transition of mitotic cell cycle	0.0002883691923121828	0.0002883691923121828	+1	
REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	regulation of chromosome separation	0.0002923943583645449	0.0002923943583645449	+1	
HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	0.00029763797247957377	0.00029763797247957377	+1	
NUCLEAR DIVISION%GOBP%GO:0000280	nuclear division	0.0002987980710987632	0.0002987980710987632	+1	
NEGATIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044092	negative regulation of molecular function	0.00032096949230896974	0.00032096949230896974	+1	
RAB REGULATION OF TRAFFICKING%REACTOME%R-HSA-9007101.4	Rab regulation of trafficking	0.0003477134859288691	0.0003477134859288691	+1	
TNFALPHA%NETPATH%TNFALPHA	TNFalpha	0.0003477134859288691	0.0003477134859288691	+1	
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS%GOBP%GO:1902850	microtubule cytoskeleton organization involved in mitosis	0.0003477134859288691	0.0003477134859288691	+1	
PMC5549772__F2	Salmonella enterica serovar-specific transcriptional reprogramming of infected cells	0.000349000168010303	0.000349000168010303	+1	
REGULATION OF POST-TRANSLATIONAL PROTEIN MODIFICATION%GOBP%GO:1901873	regulation of post-translational protein modification	0.0003518956265742977	0.0003518956265742977	+1	
NEGATIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051248	negative regulation of protein metabolic process	0.0003582122907295964	0.0003582122907295964	+1	
PMC7962393__F7	Functional Prediction of the Key Genes Involved in HBV Associated HCC	0.0003701804795389133	0.0003701804795389133	+1	
POSITIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001252	positive regulation of chromosome organization	0.0003823079897528016	0.0003823079897528016	+1	
DNA REPLICATION%WIKIPATHWAYS_20240910%WP466%HOMO SAPIENS	DNA replication	0.00039220260523884973	0.00039220260523884973	+1	
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089	positive regulation of innate immune response	0.00043893404063386214	0.00043893404063386214	+1	
PMC9283897__F3	Bioinformatics Analysis Reveals FOXM1/BUB1B Signaling Pathway as a Key Target of Neosetophomone B in Human Leukemic Cells: A Gene Network-Based Microarray Analysis	0.0004519764427571585	0.0004519764427571585	+1	
APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0097190	apoptotic signaling pathway	0.0004738018262687532	0.0004738018262687532	+1	
SIGNALING BY NTRK1 (TRKA)%REACTOME%R-HSA-187037.4	Signaling by NTRK1 (TRKA)	0.00048634126604340557	0.00048634126604340557	+1	
TRANSLATION%REACTOME%R-HSA-72766.6	Translation	0.0005026333857695433	0.0005026333857695433	+1	
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR)%REACTOME DATABASE ID RELEASE 78%5685942	HDR through Homologous Recombination (HRR)	0.0005098935515826153	0.0005098935515826153	+1	
RETINOBLASTOMA GENE IN CANCER%WIKIPATHWAYS_20240910%WP2446%HOMO SAPIENS	Retinoblastoma gene in cancer	0.0005126338160745479	0.0005126338160745479	+1	
PMC7706582__F4	Epigenetic Mechanisms in Leukemias and Lymphomas	0.0005270258031717001	0.0005270258031717001	+1	
PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221	pattern recognition receptor signaling pathway	0.0005272609142542854	0.0005272609142542854	+1	
PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	PDGFR-beta signaling pathway	0.0005409753016196749	0.0005409753016196749	+1	
TELOMERE MAINTENANCE%GOBP%GO:0000723	telomere maintenance	0.0005475482302384669	0.0005475482302384669	+1	
REGULATION OF CELLULAR LOCALIZATION%GOBP%GO:0060341	regulation of cellular localization	0.0005602145864064541	0.0005602145864064541	+1	
REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051336	regulation of hydrolase activity	0.0005844624057968933	0.0005844624057968933	+1	
HEPATITIS B INFECTION%WIKIPATHWAYS_20240910%WP4666%HOMO SAPIENS	Hepatitis B infection	0.0006354664039788753	0.0006354664039788753	+1	
MEMBRANE ORGANIZATION%GOBP%GO:0061024	membrane organization	0.0006589324230915973	0.0006589324230915973	+1	
REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051983	regulation of chromosome segregation	0.0006671103130174489	0.0006671103130174489	+1	
NON-MEMBRANE-BOUNDED ORGANELLE ASSEMBLY%GOBP%GO:0140694	non-membrane-bounded organelle assembly	0.0006760007672268745	0.0006760007672268745	+1	
SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0044281	small molecule metabolic process	0.0006953793631733787	0.0006953793631733787	+1	
REGULATION OF LOCALIZATION%GOBP%GO:0032879	regulation of localization	0.0007082110045813931	0.0007082110045813931	+1	
ACTIN FILAMENT-BASED PROCESS%GOBP%GO:0030029	actin filament-based process	0.00071035606889307	0.00071035606889307	+1	
SPINDLE ASSEMBLY%GOBP%GO:0051225	spindle assembly	0.0007110778680197943	0.0007110778680197943	+1	
CELLULAR RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0071345	cellular response to cytokine stimulus	0.0007701944293487145	0.0007701944293487145	+1	
NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009117	nucleotide metabolic process	0.0007845631819536218	0.0007845631819536218	+1	
REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0071900	regulation of protein serine/threonine kinase activity	0.0007847666328768083	0.0007847666328768083	+1	
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.0007957000855173785	0.0007957000855173785	+1	
PMC6941108__F3	Visualization of lncRNAs and mRNAs in enriched pathways	0.0008035939077892446	0.0008035939077892446	+1	
NEGATIVE REGULATION OF MAPK CASCADE%GOBP%GO:0043409	negative regulation of MAPK cascade	0.0008168572656806966	0.0008168572656806966	+1	
SIGNALING BY NTRKS%REACTOME DATABASE ID RELEASE 78%166520	Signaling by NTRKs	0.0008281045314417591	0.0008281045314417591	+1	
REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902749	regulation of cell cycle G2/M phase transition	0.0008409447920546704	0.0008409447920546704	+1	
MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.4	Mitotic Spindle Checkpoint	0.0008590819375422444	0.0008590819375422444	+1	
REGULATION OF DNA REPLICATION%GOBP%GO:0006275	regulation of DNA replication	0.0008590819375422444	0.0008590819375422444	+1	
ENDOSOMAL TRANSPORT%GOBP%GO:0016197	endosomal transport	0.0008599663488103994	0.0008599663488103994	+1	
MITOTIC G2-G2 M PHASES%REACTOME%R-HSA-453274.4	Mitotic G2-G2 M phases	0.0008639908871868118	0.0008639908871868118	+1	
REGULATION OF RNA STABILITY%GOBP%GO:0043487	regulation of RNA stability	0.0008719507109390608	0.0008719507109390608	+1	
FANCONI ANEMIA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FANCONI ANEMIA PATHWAY	Fanconi anemia pathway	0.0008925790741644718	0.0008925790741644718	+1	
PMC7932549__F2	Overexpression of DNA repair genes in invasive ductal and lobular breast carcinomas: Insights on individual variations and precision medicine	0.0008925790741644718	0.0008925790741644718	+1	
